Продукт,Калорийность,Белки,Жиры,Углеводы
Авокадо,160 кКал,2 г,"14,66 г","1,83 г"
"Авокадо, Калифорнийские, сырые",167 кКал,"1,96 г","15,41 г","1,84 г"
"Авокадо, Флоридские, сырые",120 кКал,"2,23 г","10,06 г","2,22 г"
Агава приготовленная,135 кКал,"0,99 г","0,29 г","21,4 г"
Агава сушеная,341 кКал,"1,71 г","0,69 г","66,38 г"
Агава сырая,68 кКал,"0,52 г","0,15 г","9,63 г"
Айсберг (салат кочанный),14 кКал,"0,9 г","0,14 г","1,77 г"
"Амарант листья, вареные, без соли",21 кКал,"2,11 г","0,18 г","4,11 г"
"Амарант листья, сырые",23 кКал,"2,46 г","0,33 г","4,02 г"
"Амарант, листья, вареные, с солью",21 кКал,"2,11 г","0,18 г","4,11 г"
Артишок,47 кКал,"3,27 г","0,15 г","5,11 г"
Артишок вареный с солью,51 кКал,"2,89 г","0,34 г","5,69 г"
"Артишок вареный, без соли",53 кКал,"2,89 г","0,34 г","6,25 г"
"Артишок вареный, замороженные, без соли",45 кКал,"3,11 г","0,5 г","4,58 г"
"Артишок замороженные, вареные, с солью",45 кКал,"3,11 г","0,5 г","4,58 г"
Артишок замороженный неприготовленный,38 кКал,"2,63 г","0,43 г","3,85 г"
"Артишок испанский, вареный, без соли",22 кКал,"0,76 г","0,11 г","3,63 г"
"Артишок испанский, вареный, с солью",20 кКал,"0,76 г","0,11 г","3,04 г"
"Артишок испанский, сырой",17 кКал,"0,7 г","0,1 г","2,47 г"
"Аурикулярия густоволосистая, сушеная",284 кКал,"9,25 г","0,73 г","2,91 г"
"Аурикулярия уховидная, сушеная",298 кКал,"4,82 г","0,44 г","81,03 г"
"Аурикулярия уховидная, сырая",25 кКал,"0,48 г","0,04 г","6,75 г"
"Базелла белая, приготовленная",23 кКал,"2,98 г","0,78 г","0,61 г"
Баклажан,24 кКал,"1,2 г","0,1 г","4,5 г"
"Баклажан, вареный, без соли",35 кКал,"0,83 г","0,23 г","6,23 г"
"Баклажан, вареный, с солью",33 кКал,"0,83 г","0,23 г","5,64 г"
"Баклажан, сырой",25 кКал,"0,98 г","0,18 г","2,88 г"
Баклажаны маринованные,49 кКал,"0,9 г","0,7 г","7,27 г"
Баклажаны фаршированные овощами по 1-266,83 кКал,"2,9 г","4,5 г","7,4 г"
"Бамбук, побеги вареные, с солью",11 кКал,"1,53 г","0,22 г","0,52 г"
"Бамбук, побеги, вареные, без соли",12 кКал,"1,53 г","0,22 г","0,92 г"
