Продукт,Калорийность,Белки,Жиры,Углеводы
"Биточки паровые из курицы, по 2-24",176 кКал,"18,6 г","7,2 г","9,3 г"
"Брикет из куриного мяса, замороженный, неприготовленный",292 кКал,"14,33 г","20,04 г","12,41 г"
"Брикет из куриного мяса, замороженный, приготовленный",287 кКал,"14,85 г","19,58 г","12,54 г"
Бульон куриный,36 кКал,"2,52 г","1,2 г","3,53 г"
"Ветчина из индейки, темное мясо, копченая, замороженная",118 кКал,"16,3 г",4 г,"3,1 г"
"Голубь, приготовленный (включая голубят)",213 кКал,"23,9 г",13 г,0 г
"Голубь, птенцы",294 кКал,"18,47 г","23,8 г",0 г
"Голубь, птенцы, белое мясо без кожи",134 кКал,"21,76 г","4,52 г",0 г
"Голубь, птенцы, только мясо",142 кКал,"17,5 г","7,5 г",0 г
Грудка цыпленка-бройлера (филе),116 кКал,"19,6 г","4,1 г","0,3 г"
Гусь 1 кат.,412 кКал,"15,2 г",39 г,0 г
Гусь 2 кат.,317 кКал,17 г,"27,7 г",0 г
Гусь домашний,371 кКал,"15,86 г","33,62 г",0 г
"Гусь домашний, запечённый",305 кКал,"25,16 г","21,92 г",0 г
"Гусь домашний, только мясо",161 кКал,"22,75 г","7,13 г",0 г
"Гусь домашний, только мясо, запечённый",238 кКал,"28,97 г","12,67 г",0 г
Гусята 1 кат.,326 кКал,"16,6 г","28,8 г",0 г
Гусята 2 кат.,208 кКал,"19,1 г","14,6 г",0 г
"Домашняя птица, мясо  механической обвалки со спинок и шеек без кожи, сырое",199 кКал,"13,79 г","15,48 г",0 г
"Домашняя птица, мясо зрелых индеек, без костей, сырое",243 кКал,"14,72 г","19,98 г",0 г
"Домашняя птица, мясо механической обвалки со спинок и шеек с кожей, сырое",272 кКал,"11,39 г","24,73 г",0 г
Желудки индейки,111 кКал,"18,8 г","3,37 г",0 г
"Желудки индейки, вареные на медленном огне",155 кКал,"26,45 г","4,64 г",0 г
Желудки куриные,94 кКал,"17,66 г","2,06 г",0 г
"Желудки куриные, вареные на медленном огне",154 кКал,"30,39 г","2,68 г",0 г
Желудок куриный,130 кКал,21 г,"6,4 г","0,6 г"
Желудок цыпленка бройлера,122 кКал,"20,7 г",4 г,"0,8 г"
Индейка,144 кКал,"21,64 г","5,64 г","0,14 г"
Индейка 1 кат.,276 кКал,"19,5 г",22 г,0 г
Индейка 2 кат.,194 кКал,"21,6 г",12 г,0 г
"Индейка для тако, замороженная, приготовленная",148 кКал,"16,8 г","7,58 г","3,03 г"
"Индейка с подливкой, замороженная",67 кКал,"5,88 г","2,63 г","4,61 г"
"Индейка, бедра, предварительно замаринованные, запечённые",157 кКал,"18,8 г","8,54 г",0 г
"Индейка, бедро, мясо с кожей",161 кКал,"19,54 г","9,16 г",0 г
"Индейка, бедро, мясо с кожей, запечённое",183 кКал,"23,95 г","9,5 г","0,41 г"
"Индейка, бедро, только мясо",116 кКал,"20,6 г","3,69 г",0 г
"Индейка, бедро, только мясо, запечённое",159 кКал,"25,14 г","6,25 г","0,46 г"
"Индейка, белое и темное мясо нарезанное, приправленное",138 кКал,"18,7 г",6 г,1 г
"Индейка, белое или темное мясо без кожи, копченое",162 кКал,"29,3 г",5 г,0 г
"Индейка, белое или темное мясо с кожей, копченое",208 кКал,"28,1 г","9,7 г",0 г
"Индейка, белое мясо",114 кКал,"23,66 г","1,48 г","0,14 г"
"Индейка, белое мясо с кожей",161 кКал,"21,96 г","7,43 г","0,15 г"
"Индейка, белое мясо с кожей, запечённая",177 кКал,"29,55 г","5,57 г","0,05 г"
"Индейка, белое мясо, запечённая",147 кКал,"30,13 г","2,08 г",0 г
"Индейка, голень копчёная",200 кКал,"27,9 г","9,8 г",0 г
"Индейка, голень, мясо с кожей",141 кКал,"19,96 г","6,84 г",0 г
"Индейка, голень, мясо с кожей, запечённая",197 кКал,"28,21 г","9,37 г",0 г
"Индейка, голень, только мясо",118 кКал,"20,52 г","3,97 г",0 г
"Индейка, голень, только мясо, запечённая",173 кКал,"28,61 г","6,52 г",0 г
"Индейка, грудка с кожей",157 кКал,"21,89 г","7,02 г",0 г
"Индейка, грудка с кожей, запечённая",189 кКал,"28,71 г","7,41 г",0 г
"Индейка, грудка с кожей, предварительно замаринованная, запечённая",126 кКал,"22,16 г","3,46 г",0 г
"Индейка, грудка, только мясо",114 кКал,"23,66 г","1,48 г","0,14 г"
"Индейка, грудка, только мясо, запечённая",147 кКал,"30,13 г","2,08 г",0 г
"Индейка, жареная, по 2-16",280 кКал,"23,4 г","20,7 г","0,1 г"
"Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное",120 кКал,"17,6 г","2,2 г","6,4 г"
"Индейка, жаркое, белое и темное мясо без костей, приправленное, замороженное, запечённое",155 кКал,"21,32 г","5,78 г","3,07 г"
"Индейка, запечённая",189 кКал,"28,55 г","7,39 г","0,06 г"
"Индейка, крылышки",197 кКал,"20,22 г","12,32 г",0 г
"Индейка, крылышки, запечённые",229 кКал,"27,38 г","12,43 г",0 г
"Индейка, крылышки, копченые",221 кКал,"27,4 г","12,41 г",0 г
"Индейка, крылышки, только мясо",115 кКал,"23,66 г","1,48 г","0,14 г"
"Индейка, крылышки, только мясо, запечённые",147 кКал,"30,13 г","2,08 г",0 г
"Индейка, мясо механически отделённое от костей",201 кКал,"13,29 г","15,96 г",0 г
"Индейка, окорочка",144 кКал,"19,54 г","6,72 г",0 г
"Индейка, окорочка, запечённые",208 кКал,"27,87 г","9,82 г",0 г
"Индейка, отварная, по 2-6",273 кКал,"23,6 г","19,8 г",0 г
"Индейка, потроха",124 кКал,"18,18 г","5,09 г","0,07 г"
"Индейка, потроха и шейки",157 кКал,"20,37 г","7,77 г","0,08 г"
"Индейка, потроха и шейки,  запечённые",205 кКал,"27,98 г","9,45 г","0,07 г"
"Индейка, потроха, вареные на медленном огне",173 кКал,"26,44 г","6,61 г",0 г
"Индейка, спинка",196 кКал,"18,11 г","13,11 г",0 г
"Индейка, спинка, запечённая",244 кКал,"26,59 г","14,38 г","0,16 г"
"Индейка, спинки, только мясо",113 кКал,"21,28 г","2,5 г","0,15 г"
"Индейка, спинки, только мясо, запечённые",173 кКал,"27,71 г","6,04 г",0 г
"Индейка, темное мясо",108 кКал,"21,28 г","2,5 г","0,15 г"
