Продукт,Калорийность,Белки,Жиры,Углеводы
"LOMA LINDA Большие сосиски, низкожирные, консервированные, неприготовленные",154 кКал,"23,1 г","4,7 г","4,9 г"
"MORI-NU, Тофу, мягкий, шелковый",55 кКал,"4,8 г","2,7 г","2,9 г"
"MORI-NU, Тофу, твердый, шелковый",62 кКал,"6,9 г","2,7 г","2,4 г"
"MORI-NU, Тофу, экстра твердый, шелковый",55 кКал,"7,4 г","1,9 г",2 г
Арахис,552 кКал,"26,3 г","45,2 г","9,9 г"
Арахис,567 кКал,"25,8 г","49,24 г","7,63 г"
Арахис валенсия,570 кКал,"25,09 г","47,58 г","12,21 г"
"Арахис валенсия жаренный на масле, без соли",589 кКал,"27,04 г","51,24 г","7,4 г"
"Арахис валенсия жареный на масле, с солью",589 кКал,"27,04 г","51,24 г","7,4 г"
"Арахис вареный, с солью",318 кКал,"13,5 г","22,01 г","12,46 г"
Арахис вирджиния,563 кКал,"25,19 г","48,75 г","8,04 г"
"Арахис вирджиния жареный на масле, без соли",578 кКал,"25,87 г","48,62 г","10,96 г"
"Арахис вирджиния, жареный на масле, с солью",578 кКал,"25,87 г","48,62 г","10,96 г"
Арахис жареный,626 кКал,26 г,52 г,"13,4 г"
"Арахис жареный без масла, без соли",587 кКал,"24,35 г","49,66 г","12,86 г"
"Арахис жареный без масла, с солью",587 кКал,"24,35 г","49,66 г","12,86 г"
"Арахис жареный на масле, без соли",599 кКал,"28,03 г","52,5 г","5,86 г"
"Арахис жареный на масле, с солью",599 кКал,"28,03 г","52,5 г","5,86 г"
Арахис испанский,570 кКал,"26,15 г","49,6 г","6,33 г"
"Арахис испанский, жареный на масле, без соли",579 кКал,"28,01 г","49,04 г","8,55 г"
"Арахис испанский, жареный на масле, с солью",579 кКал,"28,01 г","49,04 г","8,55 г"
Арахисовая мука обезжиренная,327 кКал,"52,2 г","0,55 г","18,9 г"
Арахисовая мука с низким содерж. жира,428 кКал,"33,8 г","21,9 г","15,47 г"
Арахисовая паста без соли,598 кКал,"22,21 г","51,36 г","17,31 г"
Арахисовая паста обогащенная витаминами и минералами,591 кКал,"25,72 г","50,81 г","13,15 г"
"Арахисовая паста с кусочками орехов, без соли",589 кКал,"24,06 г","49,94 г","13,57 г"
"Арахисовая паста с кусочками орехов, обогащенное витаминами и минералами",593 кКал,"26,06 г","51,47 г","11,99 г"
"Арахисовая паста с кусочками орехов, с солью",589 кКал,"24,06 г","49,94 г","13,57 г"
Арахисовая паста с омега-3,608 кКал,"24,47 г","54,17 г","10,9 г"
"Арахисовая паста с пониж. содерж. жира, 34%",520 кКал,"25,9 г",34 г,"30,45 г"
Арахисовая паста с пониженным содерж. натрия,590 кКал,24 г,"49,9 г","15,23 г"
Арахисовая паста с солью,598 кКал,"22,21 г","51,36 г","17,31 г"
"Арахисовая паста, стандарт США",588 кКал,"21,93 г","49,54 г","18,28 г"
"Арахисовое масло, паста-спред, с пониженным содерж. сахара",650 кКал,"24,8 г","54,89 г","6,43 г"
"Бекон, из заменителя мяса (из бобовых)",309 кКал,"11,69 г","29,52 г","2,71 г"
Боб садовый (конский) незрелый,72 кКал,"5,6 г","0,6 г","7,5 г"
"Боб садовый (конский) незрелый, вареный, без соли",62 кКал,"4,8 г","0,5 г","6,5 г"
"Боб садовый (конский) незрелый, вареный, с солью",62 кКал,"4,8 г","0,5 г","10,1 г"
Бобы (фасоль фава),341 кКал,"26,12 г","1,53 г","33,29 г"
"Бобы (фасоль фава), вареные, без соли",110 кКал,"7,6 г","0,4 г","14,25 г"
"Бобы (фасоль фава), вареные, с солью",110 кКал,"7,6 г","0,4 г","14,25 г"
"Бобы (фасоль фава), консервированные",71 кКал,"5,47 г","0,22 г","8,71 г"
"Бобы мунг (маш, фасоль золотистая), зрелые семена, вареные, без доб. соли",105 кКал,"7,02 г","0,38 г","11,55 г"
"Голубиный горох, зрелый",343 кКал,"21,7 г","1,49 г","47,78 г"
"Голубиный горох, зрелый, вареный, без соли",121 кКал,"6,76 г","0,38 г","16,55 г"
"Голубиный горох, зрелый, вареный, с солью",121 кКал,"6,76 г","0,38 г","16,55 г"
"Голубиный горох, неспелый",136 кКал,"7,2 г","1,64 г","18,78 г"
