Продукт,Калорийность,Белки,Жиры,Углеводы
Аджика,"59,3 кКал",1 г,"3,7 г","5,8 г"
"Анис, семена",337 кКал,"17,6 г","15,9 г","35,42 г"
"Базилик, свежий",23 кКал,"3,15 г","0,64 г","1,05 г"
"Базилик, сушеный",233 кКал,"22,98 г","4,07 г","10,05 г"
Ванилин,351 кКал,"0,1 г","0,1 г","87,6 г"
Ванильный экстракт,288 кКал,"0,06 г","0,06 г","12,65 г"
"Ванильный экстракт, искуственный, без алкоголя",56 кКал,"0,03 г",0 г,"14,4 г"
"Ванильный экстракт, искуственный, с алкоголем",237 кКал,"0,05 г",0 г,"2,41 г"
Васаби,292 кКал,"2,23 г","10,9 г","40,03 г"
"Гвоздика, молотая",274 кКал,"5,97 г",13 г,"31,63 г"
"Горчица желтая, приготовленная",60 кКал,"3,74 г","3,34 г","1,83 г"
"Горчица желтая, семена",508 кКал,"26,08 г","36,24 г","15,89 г"
"Горчица сарептская, соленая",28 кКал,"1,1 г","0,1 г","2,53 г"
Горчица столовая,143 кКал,"9,9 г","5,3 г","12,7 г"
Дрожжевой экстракт,185 кКал,"23,88 г","0,9 г","13,92 г"
"Заменитель майонеза, молочные сливки",97 кКал,"2,1 г","5,1 г","11,1 г"
"Заменитель майонеза, соевый",232 кКал,"0,3 г","19,2 г",16 г
"Заменитель майонеза, соевый без холестерина",482 кКал,"0,1 г","47,7 г","15,8 г"
Заправка для салата Зеленая богиня,427 кКал,"1,9 г","43,33 г","7,26 г"
Заправка для салата из шинкованной капусты,404 кКал,"0,85 г","34,53 г","22,4 г"
"Заправка для салата из шинкованной капусты, обезжиренная",329 кКал,0 г,20 г,"39,6 г"
"Заправка для салата итальянская, без соли, покупная",292 кКал,"0,38 г","28,37 г","10,43 г"
"Заправка для салата итальянская, низкокалорийная",200 кКал,"0,3 г",20 г,"6,5 г"
"Заправка для салата итальянская, обезжиренная",102 кКал,"0,39 г","6,68 г","9,99 г"
"Заправка для салата итальянская, обезжиренная",47 кКал,"0,97 г","0,87 г","8,15 г"
"Заправка для салата итальянская, обезжиренная, без соли",76 кКал,"0,47 г","6,38 г","4,57 г"
"Заправка для салата итальянская, покупная",240 кКал,"0,41 г","21,12 г","12,12 г"
Заправка для салата кунжутная,443 кКал,"3,1 г","45,2 г","7,6 г"
Заправка для салата с беконом и помидорами,326 кКал,"1,8 г",35 г,"1,8 г"
Заправка для салата с уксусом и маслом домашнего приготовления,449 кКал,0 г,"50,1 г","2,5 г"
"Заправка для салата Тысяча островов, обезжиренная",195 кКал,"0,83 г","11,32 г","22,86 г"
"Заправка для салата Тысяча островов, покупная",379 кКал,"1,09 г","35,06 г","13,84 г"
"Заправка для салата французская, обезжиренная",132 кКал,"0,2 г","0,27 г","29,94 г"
"Заправка для салата французская, по домашнему рецепту",631 кКал,"0,1 г","70,2 г","3,4 г"
Заправка для салата Цезарь,542 кКал,"2,17 г","57,85 г","2,8 г"
"Заправка для салата Цезарь, низкокалорийная",110 кКал,"0,3 г","4,4 г","18,5 г"
"Заправка для салата Цезарь, обезжиренная",131 кКал,"1,47 г","0,23 г","30,53 г"
"Заправка для салата, медово-горчичная, низкокалорийная",207 кКал,"0,98 г",10 г,"27,46 г"
"Заправка для салата, обезжиренная, ""MIRACLE WHIP LIGHT"" компании KRAFT",84 кКал,"0,2 г","2,7 г","13,6 г"
