Продукт,Калорийность,Белки,Жиры,Углеводы
"BURGER KING, ванильный коктейль",168 кКал,"3,19 г","8,74 г","19,03 г"
"BURGER KING, гамбургер",261 кКал,"14,85 г","10,55 г","25,76 г"
"BURGER KING, двойной ""WHOPPER"", без сыра",252 кКал,"13,94 г","15,66 г","12,34 г"
"BURGER KING, двойной ""WHOPPER"", с сыром",266 кКал,"14,47 г","17,06 г","11,92 г"
"BURGER KING, драники",302 кКал,"2,8 г","19,3 г","27,07 г"
"BURGER KING, картошка фри",280 кКал,"3,23 г","12,48 г","35,8 г"
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской и сыром",376 кКал,"13,73 г","25,45 г","22,3 г"
"BURGER KING, круассан ""CROISSAN'WICH"" с сосиской, яйцом и сыром",308 кКал,"12,09 г","21,78 г","14,1 г"
"BURGER KING, круассан ""CROISSAN'WICH"" с яйцом и сыром",283 кКал,"10,35 г","15,78 г","24,09 г"
"BURGER KING, куриное филе ""CHICKEN TENDERS""",292 кКал,"18,2 г","15,25 г","19,19 г"
"BURGER KING, куриный сэндвич ""Original Chicken Sandwich""",286 кКал,"12,14 г","14,69 г","23,82 г"
"BURGER KING, сэндвич ""WHOPPER"", без сыра",233 кКал,"10,74 г","12,84 г","16,75 г"
"BURGER KING, сэндвич ""WHOPPER"", с сыром",250 кКал,"11,19 г","15,33 г","15,7 г"
"BURGER KING, французские гренки",349 кКал,6 г,"17,74 г","39,81 г"
"BURGER KING, чизбургер",286 кКал,"14,57 г","14,81 г","22,71 г"
"DOMINO'S, пицца ""EXTRAVAGANZZA FEAST"", на классическом корже, сформированном вручную, 14 дюймов",244 кКал,"10,33 г","11,1 г","23,72 г"
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на замороженном корже, 14 дюймов",283 кКал,"11,52 г","12,1 г","29,49 г"
"DOMINO'S, пицца с паперони ""Pepperoni Pizza"", на классическом корже, сформированном вручную, 14 дюймов",273 кКал,"11,25 г","11,18 г","29,76 г"
"DOMINO'S, сырная пицца ""Cheese Pizza"", на замороженном корже, 14 дюймов",265 кКал,"10,76 г","9,83 г","31,08 г"
"DOMINO'S, сырная пицца ""Cheese Pizza"", на классическом корже, сформированном вручную, 14 дюймов",257 кКал,"10,8 г","8,97 г","31,04 г"
"DOMINO'S, сырная пицца ""Cheese Pizza"", на тонком корже с кусочками арахиса",298 кКал,"12,33 г","15,1 г","25,68 г"
"KENTUCKY FRIED CHICKEN, бисквит, информация состоянием на январь 2007",358 кКал,"7,5 г","17,05 г","41,55 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", бедра, мясо и шкурка, информация состоянием на январь 2007",309 кКал,"17,17 г","22,14 г","10,3 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", крылышки, мясо и шкурка, информация состоянием на  январе 2007",337 кКал,"20,8 г",23 г,"11,66 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", ножки, мясо и шкурка, информация состоянием на январь 2007",274 кКал,"20,62 г","17,73 г","7,96 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""EXTRA CRISPY"", шкурка, информация состоянием на январь 2007",464 кКал,"10,96 г","36,61 г","21,04 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", бедра, мясо и шкурка, информация состоянием на январь 2007",269 кКал,"18,9 г","17,73 г","8,46 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", грудка, мясо и шкурка, информация состоянием на январь 2007",231 кКал,"21,94 г","13,11 г","6,28 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", крылышки, мясо и шкурка, информация состоянием на  январь 2007",297 кКал,"21,7 г","18,9 г","9,93 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", ножки, мясо и шкурка, информация состоянием на  январь 2007",239 кКал,"22,3 г","14,22 г","5,39 г"
"KENTUCKY FRIED CHICKEN, жареная в панировке курица ""ORIGINAL RECIPE"", шкурка, информация состоянием на  январь 2007",384 кКал,"14,17 г","28,01 г","18,79 г"
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", бедра, только мясо,  информация состоянием на  январь 2007",179 кКал,"22,41 г","9,96 г",0 г
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", грудка, только мясо, информация состоянием на январь 2007",153 кКал,"27,25 г","4,82 г","0,25 г"
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", крылышки, только мясо, информация состоянием на  январь 2007",236 кКал,"28,67 г","12,13 г","2,97 г"
"KENTUCKY FRIED CHICKEN, жареная курица ""EXTRA CRISPY"", ножки, только мясо, информация состоянием на  январь 2007",170 кКал,"25,9 г","7,43 г",0 г
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"" ножки, только мясо, информация состоянием на  январь 2007",175 кКал,"26,3 г","7,66 г","0,11 г"
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", бедра, только мясо, информация состоянием на  январь 2007",175 кКал,"22,78 г","9,31 г","0,01 г"
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", грудка, только мясо, информация состоянием на  январь 2007",149 кКал,"26,89 г","4,56 г",0 г
"KENTUCKY FRIED CHICKEN, жареная курица ""ORIGINAL RECIPE"", крылышки, только мясо, информация состоянием на  январь 2007",216 кКал,"28,65 г","10,49 г","1,76 г"
"KENTUCKY FRIED CHICKEN, жаренаяв панировке курица ""EXTRA CRISPY"", грудка, мясо и шкурка, информация состоянием на янваье 2007",268 кКал,"21,24 г","16,55 г","8,47 г"
"KENTUCKY FRIED CHICKEN, куринный попкорн, информация состоянием на январь 2007",351 кКал,"17,67 г","21,74 г","20,18 г"
"KENTUCKY FRIED CHICKEN, салат из капусты",144 кКал,"0,91 г","8,64 г","13,65 г"
"KENTUCKY FRIED CHICKEN, хрустящие куринные полосочки, информация состоянием на  январь 2007",274 кКал,"20,25 г","15,42 г","12,26 г"
"LITTLE CAESARS, пицца с мясом и овощами, на оригинальном корже, 14 дюймов",243 кКал,"12,12 г","11,35 г",21 г
"LITTLE CAESARS, пицца с паперони ""Original Round Pepperoni Pizza"", на стандартном корже, 14 дюймов",273 кКал,"13,59 г","10,5 г","29,31 г"
"LITTLE CAESARS, пицца с паперони ""Pepperoni Pizza"", на большом замороженном корже, 14 дюймов",265 кКал,"12,93 г","10,81 г","27,53 г"
"LITTLE CAESARS, сырная пицца ""Cheese Pizza"", на большом замороженном корже, 14 дюймов",263 кКал,"12,63 г","10,22 г","28,8 г"
"LITTLE CAESARS, сырная пицца ""Cheese Pizza"", на тонком корже, 14 дюймов",309 кКал,"16,23 г","16,99 г","21,25 г"
"LITTLE CAESARS, сырная пицца ""Original Round Cheese Pizza"", на стандартном корже, 14 дюймов",265 кКал,"13,39 г","9,54 г","29,8 г"
"McDONALD'S, ""BIG MAC""",257 кКал,"11,82 г","14,96 г","18,48 г"
"McDONALD'S, ""BIG MAC"" (без соуса Big Mac)",234 кКал,"12,79 г","11,57 г","19,31 г"
"McDONALD'S, ""Chicken McNUGGETS""",302 кКал,"15,79 г","19,81 г","15,09 г"
"McDONALD'S, бисквит с беконом, яйцом и сыром",304 кКал,"13,45 г","18,77 г","21,36 г"
"McDONALD'S, бисквит с котлетой",376 кКал,"9,62 г","25,4 г",26 г
"McDONALD'S, бисквит с котлетой и яйцом",311 кКал,"11,27 г","22,26 г","18,48 г"
"McDONALD'S, буррито с котлетой",262 кКал,"11,54 г","15,15 г","21,39 г"
"McDONALD'S, гамбургер",264 кКал,"12,92 г","10,09 г","28,98 г"
"McDONALD'S, готовые завтраки ""BIG BREAKFAST""",285 кКал,"10,16 г","19,37 г","16,4 г"
"McDONALD'S, двойной сэндвич ""QUARTER POUNDER"" с сыром",262 кКал,"16,96 г","16,22 г","13,43 г"
"McDONALD'S, двойной чизбургер",282 кКал,"15,5 г","16,09 г","17,99 г"
"McDONALD'S, драники",262 кКал,"2,26 г","16,46 г","26,3 г"
"McDONALD'S, завтрак ""Deluxe"", с сиропом и маргарином",285 кКал,"7,56 г","15,23 г","28,48 г"
"McDONALD'S, йогуртово-фруктовое Парфе",105 кКал,"2,73 г","1,3 г","19,72 г"
