Продукт,Калорийность,Белки,Жиры,Углеводы
Азу,"177,62 кКал","9,3114 г","12,2569 г","7,2551 г"
Антрекот,"317,2565 кКал","21,536 г","25,0652 г","1,3686 г"
Анчоусы и кильки с картофелем,"156,5 кКал","12,3 г","7,9 г","9,7 г"
Баклажаны панированные,236 кКал,"2,9 г","23,1 г","4,4 г"
Баклажаны по-украински,"154,1 кКал","1,7 г","13,6 г","6,8 г"
Баклажаны под майонезом,"114,2 кКал","1,4 г","10,4 г","4,1 г"
Баклажаны тушеные с помидорами,"189,3 кКал","2,1 г","17,7 г","5,7 г"
"Баранина рубленая, запеченная в омлете (чувашское национальное блюдо)","246,3 кКал",14 г,"20,1 г","2,5 г"
Баранина с рисом и изюмом (еврейское национальное блюдо),"265,4 кКал","12,4 г",18 г,"14,4 г"
Беляш,"139,3 кКал","8,8 г","6,2 г","12,8 г"
Беляши (казахское национальное блюдо),"260,6 кКал","14,6 г","14,7 г","18,7 г"
Береки (мучное изделие с мясом - калмыцкое национальное блюдо),289 кКал,"15,4 г","18,9 г","15,3 г"
Бефстроганов,"355,4 кКал","21,9 г","27,4 г","5,7 г"
"Биточки или котлеты манные, рисовые","162,4 кКал",4 г,"7,8 г","20,4 г"
"Биточки или котлеты пшенные, пшеничный, перловые, ячневые","151,9 кКал","3,9 г","7,4 г","18,6 г"
Биточки паровые,"281,4 кКал",20 г,"19,5 г",7 г
Биточки по-селянски (украинское национальное блюдо),"208,6 кКал","9,8 г","13,8 г",12 г
"Биточки рубленые из птицы, дичи или кролика паровые под белым соусом с рисом","307,1 кКал","11,2 г","13,2 г","38,3 г"
"Биточки рыбные, жаренные ""фри""","232,1 кКал","12,3 г",15 г,"12,7 г"
"Биточки, котлеты из кальмаров и рыбы",363 кКал,"14,4 г","12,5 г","51,4 г"
Бифштекс,"384,3 кКал","27,8 г","29,6 г","1,7 г"
Бифштекс рубленый,"497,3 кКал","27,1 г","43,2 г",0 г
Бифштекс с луком,"337,7 кКал",25 г,25 г,"3,4 г"
Бифштекс с яйцом,"326,4 кКал","26,1 г",24 г,"1,6 г"
Бифштексы рубленые,166 кКал,"11,1 г","12,9 г","1,4 г"
Бобовые с копченой грудинкой или корейкой,"381,4 кКал",23 г,"14,9 г","41,4 г"
Бозбаш,"87,9 кКал","4,6 г","3,7 г","9,6 г"
Брюква запеченная,"51,1 кКал","2,1 г","1,6 г","7,5 г"
Брюква тушеная,"113,5 кКал","1,2 г","8,5 г","8,6 г"
Вареники ленивые (полуфабрикат),"248,2 кКал","13,7 г","14,9 г","15,9 г"
Вареники ленивые отварные,"355,4 кКал","17,2 г","23,5 г",20 г
Вареники с брусникой и яблоками по-уральски,"106,1 кКал","3,5 г","2,1 г","19,6 г"
Вареники с капустой,"79,1 кКал","4,2 г","2,9 г","9,7 г"
"Вареники с творожным, фруктовым или овощным фаршем","281,3 кКал","10,4 г","10,5 г","38,8 г"
Волованы,435 кКал,"7,9 г","29,9 г","35,9 г"
Волованы с икрой,"293,2 кКал","11,2 г","20,2 г","17,8 г"
Волованы с курицей,"410,8 кКал","14,1 г","30,8 г","20,7 г"
Волованы с окороком,"480,1 кКал","9,5 г","41,3 г","18,8 г"
Волованы с салатом,"326,6 кКал","8,3 г",24 г,"20,5 г"
Волованы с семгой или икрой,"333,6 кКал","12,1 г","24,3 г","17,9 г"
Вымя отварное в соусе,"70,7 кКал","5,7 г","5,2 г","0,3 г"
Галантин из рыбы,"145,1 кКал","15,6 г","7,4 г","4,3 г"
Говядина в кисло-сладком соусе,"354,9 кКал","26,1 г",22 г,"13,9 г"
Говядина в луковом соусе запеченная,"178,5 кКал","12,2 г","11,4 г","7,3 г"
"Говядина, запеченная с макаронами","359,4 кКал","18,4 г","22,2 г","22,9 г"
"Говядина, тушенная с луком, орехами и чесноком (адыгейское национальное блюдо)","530,2 кКал","29,9 г","24,2 г","51,4 г"
"Говядина, фаршированная грибами","326,5 кКал","21,1 г","25,5 г","3,4 г"
Голубцы овощные,"190,9 кКал","3,4 г","16,7 г","7,3 г"
Горбуша в сливках,"129,5 кКал","8,8 г","9,5 г","2,4 г"
Горячий паштет из печени,"119,4 кКал","10,2 г","5,6 г","7,5 г"
Грибная запеканка,"145,2 кКал","4,7 г","10,1 г","9,5 г"
Грибная икра,"88,4 кКал","2,2 г","6,1 г","6,5 г"
Грибные пельмени,"185,8 кКал","5,5 г","13,3 г","11,8 г"
Грибные ушки,"341,7 кКал","17,2 г","20,4 г","23,8 г"
"Грибочки калевальские (рыба, фаршированная яйцом, - карельское национальное блюдо)","185,7 кКал","11,8 г","9,2 г","14,8 г"
Грибы в сметанном соусе,"204,2 кКал",5 г,"18,9 г","3,8 г"
Грибы в сметанном соусе,"230,5 кКал","4,8 г","21,8 г","3,9 г"
Грибы жареные,"162,1 кКал","4,6 г","11,5 г","10,7 г"
Грибы по-деревенски,"51,1 кКал","1,2 г","3,7 г","3,5 г"
Грибы по-селянски,180 кКал,"1,6 г","18,4 г","2,1 г"
Грибы с квашеной капустой,"138,9 кКал","2,8 г","10,9 г",8 г
Грибы с квашеной капустой,"58,7 кКал","1,8 г","4,6 г","2,6 г"
"Грудинка, фаршированная кашей","283,8 кКал","16,4 г","18,5 г","13,7 г"
Гуляш,326 кКал,"24,9 г",22 г,"7,7 г"
Гуляш с капустой,"81,3 кКал","5,9 г","5,4 г","2,5 г"
"Гусь, утка фаршированные","437,2 кКал","14,5 г","38,1 г","9,6 г"
Драники,"69,3 кКал",3 г,"0,9 г",13 г
Драчена,"196,7 кКал","11,4 г","14,5 г","5,5 г"
Дрочена,253 кКал,"7,7 г","22,3 г","5,8 г"
"Еда ""Быстрая""","241,7 кКал","10,7 г","6,7 г","36,9 г"
Ежики сибирские,"184,7 кКал","10,1 г","9,6 г","15,5 г"
Жал-баур (шашлык из печени - кабардино-балкарское национальное блюдо),"383,5 кКал","10,4 г","36,4 г","3,8 г"
Жареная курица и бульон,212 кКал,"15,8 г","15,8 г","1,7 г"
Жареная рыба под маринадом,"215,4 кКал","19,5 г","11,4 г","9,4 г"
Жаренный картофель с колбасой,"83,9 кКал","2,8 г","5,4 г","6,5 г"
"Жаркое ""Вкусное""","179,4 кКал","11,2 г","6,9 г","19,4 г"
"Жаркое ""Казань"" (жаркое с черносливом - татарское национальное блюдо)","227,6 кКал","12,8 г","14,6 г","11,9 г"
Жаркое из кролика (зайчатины),"182,1 кКал","13,5 г","12,9 г","3,2 г"
Жаркое из курицы по-русски,"368,8 кКал","15,4 г","30,1 г","9,6 г"
Жаркое из свинины,"233,1 кКал","10,6 г","20,9 г","0,7 г"
Жаркое из субпродуктов по-ингушски,"121,3 кКал",16 г,"3,3 г","7,3 г"
Жаркое из фаршированной свинины,102 кКал,"3,3 г","6,7 г","7,6 г"
Жаркое из цыплят и субпродуктов кур,"280,9 кКал","14,6 г","21,7 г","7,2 г"
Жаркое по-гусарски,"153,6 кКал","13,4 г","9,8 г","3,1 г"
Жаркое по-домашнему,248 кКал,"16,2 г","13,8 г","15,7 г"
Жаркое с грибами по-русски,"205,4 кКал","11,2 г","13,8 г","9,8 г"
Запеканка из икры частиковых рыб (национальное блюдо народов Севера),"122,8 кКал","8,3 г","5,1 г","11,7 г"
Запеканка из кабачков,"142,3 кКал","5,2 г","12,1 г","3,3 г"
Запеканка из лапши со смородиной,"164,4 кКал","4,5 г","6,1 г","24,3 г"
