Продукт,Калорийность,Белки,Жиры,Углеводы
Бабка из черного хлеба с яблоками,"189,7 кКал","2,6 г",9 г,"26,2 г"
Бабушкины Рогалики,"320,7 кКал","4,5 г","19,6 г","33,7 г"
Буберт из пшеничной муки,"123,1 кКал","4,4 г","6,2 г","13,3 г"
Ватрушки (из дрожжевого теста),"319,3 кКал","13,3 г","11,9 г","42,5 г"
Воздушный пирог из черники,"149,9 кКал","3,2 г","4,2 г","26,4 г"
Картофельное печенье,69 кКал,"2,9 г","2,5 г","9,3 г"
Картофельное суфле,"108,8 кКал","5,6 г","6,1 г","8,3 г"
"Кекс ""Пока гости раздеваются""","286,5 кКал","4,6 г","13,1 г",40 г
Кекс кондитерский,"276,2 кКал","6,2 г","13,6 г","34,4 г"
Кекс молдавский,"271,4 кКал","5,6 г","8,9 г",45 г
Кекс шоколадный,"356,3 кКал","6,2 г","20,2 г","39,8 г"
Крокеты из манной крупы,"176,9 кКал","4,6 г","12,2 г","13,1 г"
Крокеты из моркови с изюмом,134 кКал,"3,6 г","2,8 г","25,3 г"
Крупеник,"204,4 кКал","8,3 г","12,1 г","16,7 г"
Кулебяки (из дрожжевого теста),"278,9 кКал","16,2 г","11,7 г",29 г
Кулич пасхальный,"320,4 кКал","6,8 г","14,4 г","43,8 г"
Лапшевник с творогом,"165,9 кКал","6,9 г","9,5 г","14,1 г"
Лекех,"264,3 кКал","6,8 г","5,2 г","50,9 г"
Лепешки из творога и картофеля,"153,8 кКал","9,3 г","8,9 г","9,9 г"
Макаронник,"126,6 кКал","4,1 г","5,6 г",16 г
Манная запеканка с вишней,"102,7 кКал","3,6 г","3,6 г","14,9 г"
Манник,"218,4 кКал","6,2 г","2,4 г","45,9 г"
Манный пудинг с абрикосами,"126,1 кКал","4,4 г","4,4 г","18,5 г"
Манный пудинг с грушами,"115,5 кКал","3,5 г","3,2 г","19,4 г"
Манный пудинг с клубникой,"119,5 кКал","4,1 г","5,2 г","15,1 г"
Медовик,"311,1 кКал","8,3 г","4,9 г","62,3 г"
Миндальный пудинг с клубникой,"178,5 кКал","4,1 г","8,6 г","22,5 г"
Ореховое печение,"268,5 кКал","6,7 г","12,1 г","35,5 г"
Печенье из картофеля с яблоками,148 кКал,"1,9 г","4,5 г","26,7 г"
Печенье из кофе,"366,6 кКал","6,2 г","21,3 г",40 г
Печенье из творога,"380,9 кКал","9,3 г",26 г,"29,3 г"
Пирог летний,"238,3 кКал","9,2 г","8,4 г","33,5 г"
Пирог от Анюты,"312,5 кКал","9,8 г","15,9 г","34,8 г"
Пирог с бананами,"115,6 кКал","2,3 г","0,7 г","26,8 г"
Пирог с вишнями,"313,9 кКал","2,9 г","20,7 г",31 г
Пирог с творогом и вишней,"128,3 кКал","7,7 г","3,7 г",17 г
Пирог с черникой,"298,4 кКал","2,9 г","11,5 г","48,8 г"
Пирог яблочный открытый,"193,6 кКал","2,1 г","7,3 г",32 г
Пироги закрытые,"252,4 кКал","12,1 г","6,6 г","38,7 г"
Пирожки жареные из дрожжевого теста (простые с фаршем массой 75г.),"339,4 кКал","13,5 г","17,7 г","33,6 г"
Пирожки печеные из дрожжевого теста (простые массой 75г.),"285,8 кКал","14,4 г","9,2 г","38,7 г"
Пирожки печеные из пресного слоеного теста ( массой 75г.),"390,4 кКал","14,4 г","24,5 г","29,9 г"
Пирожки с картофелем и творогом,"98,6 кКал","8,6 г","0,9 г",15 г
Пицца с луком и сыром,"198,9 кКал","5,2 г","15,4 г","10,4 г"
Пицца с помидорами и сыром,"221,6 кКал","4,1 г","17,5 г","12,6 г"
Пончики,"328,7 кКал","6,7 г","14,7 г","45,1 г"
Пшенная запеканка,"246,1 кКал","7,3 г","5,5 г","44,7 г"
Расстегаи московские,"264,4 кКал","13,7 г","10,2 г","31,3 г"
Расстегаи с мясом или рыбой,"266,9 кКал","13,2 г","9,5 г","34,3 г"
Ржаные лепешки,390 кКал,"5,2 г","17,8 г","55,8 г"
Рисовые омлеты с вишней,"153,6 кКал","4,4 г","7,1 г","19,1 г"
"Рулет ""Мираж гурмана""","304,9 кКал","5,5 г","14,9 г","39,7 г"
Саварен (французский рождественский кекс),"175,3 кКал","3,7 г","3,7 г","33,9 г"
Свежие ягоды черники в сахаре,"241,5 кКал","0,4 г","0,2 г","63,4 г"
Свекла с творогом,"69,5 кКал","10,1 г","0,9 г","5,5 г"
Соты,"360,2 кКал","3,5 г","26,9 г","27,9 г"
Сочни творожные,"260,8 кКал","9,4 г","9,8 г","35,9 г"
Сочники с творогом,"244,1 кКал","9,6 г","7,9 г","35,8 г"
Сырники из творога,"300,2 кКал",13 г,"19,4 г","19,6 г"
Сырные палочки,"314,5 кКал","13,7 г","27,9 г","2,4 г"
Творожная запеканка,"239,6 кКал","8,4 г","6,8 г","38,6 г"
Творожная запеканка с макаронами,"228,5 кКал","11,2 г","9,1 г","27,3 г"
"Творожники ""Пряженые"" (с морковью и сыром)",320 кКал,"10,8 г","23,4 г","17,6 г"
Творожно-яблочная запеканка,"93,8 кКал","8,5 г","3,7 г","7,2 г"
Творожно-яблочный пирог,"207,3 кКал","5,1 г","6,2 г",35 г
Творожные шарики с яблоками,"321,2 кКал","7,2 г","23,8 г","20,8 г"
Торт Муравейник,"451,9 кКал","4,5 г","29,4 г","45,1 г"
Тыквенно-яблочная запеканка,"120,2 кКал","2,5 г","5,9 г","15,3 г"
Шанежки наливные с яйцами,"239,8 кКал","9,1 г",4 г,"44,7 г"
Шарлотка,"145,7 кКал","3,1 г","1,8 г","31,3 г"
Шарлотка с яблоками,"197,7 кКал","3,5 г",5 г,37 г
Яблоки в слойке,"238,3 кКал","3,9 г","9,9 г","35,7 г"
Яблоки в тесте жареные,"220,7 кКал","3,3 г",8 г,"36,1 г"
Яблоки или груши с сиропом,"105,3 кКал","0,3 г","0,3 г","27,1 г"
"Яблоки, запеченные с творогом","171,4 кКал","3,7 г","2,9 г","34,7 г"
"Яблоки, фаршированные рисом и орехами","151,1 кКал","3,1 г","8,5 г","16,7 г"
Яблочный каравай из черствого хлеба,"147,5 кКал","4,7 г","6,8 г",18 г
