Продукт,Калорийность,Белки,Жиры,Углеводы
Айвовый сок,51 кКал,"0,5 г","0,1 г","11,2 г"
"Ананасовый и апельсиновый сок напиток, консервированный",50 кКал,"1,3 г",0 г,"11,7 г"
"Ананасовый и грейпфрутовый сок-напиток, консервированный",47 кКал,"0,2 г","0,1 г","11,5 г"
"Апельсиновый и абрикосовый сок-напиток, консервированный",51 кКал,"0,3 г","0,1 г","12,6 г"
"Апельсиновый напиток, консервированный, с доб витамина C",49 кКал,0 г,"0,07 г","12,34 г"
"Апельсиновый напиток, с соком и мякотью, замороженный концентрат, приготовленный на воде",45 кКал,"0,12 г",0 г,"11,32 г"
Апельсиновый сок-напиток,54 кКал,"0,2 г",0 г,"13,21 г"
Арзни,0 кКал,0 г,0 г,0 г
Боржоми,0 кКал,0 г,0 г,0 г
"Виноградный напиток, консервированный",61 кКал,0 г,0 г,"15,72 г"
"Виноградный сок-напиток, консервированный",57 кКал,0 г,0 г,"14,45 г"
Вода,0 кКал,0 г,0 г,0 г
"Вода ""Ливония"" (г. Владивосток)",0 кКал,0 г,0 г,0 г
"Вода ""Перье"" (PERRIER)",0 кКал,0 г,0 г,0 г
Вода водопроводная питьевая,0 кКал,0 г,0 г,0 г
"Вода водопроводная, городская",0 кКал,0 г,0 г,0 г
Вода колодезная (из подземного источника),0 кКал,0 г,0 г,0 г
"Вода, бутилированная, POLAND SPRING",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, в общем",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, CALISTOGA",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, CRYSTAL GEYSER",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, DANNON",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, DANNON Fluoride To Go",0 кКал,0 г,0 г,"0,03 г"
"Вода, бутилированная, негазированная, DASANI",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, EVIAN",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, NAYA",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, негазированная, PEPSI,(пепси), AQUAFINA",0 кКал,0 г,0 г,0 г
"Вода, бутилированная, Перье, PERRIER",0 кКал,0 г,0 г,0 г
"Вода, негазированная, бутылированная, с натуральным фруктовым вкусом, с низкокалорийным подсластителем",1 кКал,0 г,0 г,"0,13 г"
"Вода, с доб. витаминов и минералов, бутилированная, подслащенная, со вкусом фруктового ассорти",22 кКал,0 г,0 г,"5,49 г"
"Вода, с кукурузным сиропом и/или сахаром и низкокалорийным подсластителем, с фруктовым вкусом",18 кКал,0 г,0 г,"4,5 г"
"Газированный напиток, апельсиновый",48 кКал,0 г,0 г,"12,3 г"
"Газированный напиток, виноградная сода",43 кКал,0 г,0 г,"11,2 г"
"Газированный напиток, Имбирный эль",34 кКал,0 г,0 г,"8,76 г"
"Газированный напиток, кола, без кофеина",41 кКал,0 г,0 г,"10,58 г"
