Продукт,Калорийность,Белки,Жиры,Углеводы
Арбуз консервированный,"36,5 кКал","0,5 г","0,09 г",9 г
Брусника маринованная с яблоками,"53,3 кКал","0,3 г","0,3 г","13,2 г"
Брусника моченая,"23,6 кКал","0,3 г","0,2 г","5,3 г"
Засахаренный кишмиш,"224,6 кКал",0 г,0 г,"59,9 г"
Икра баклажанная,"74,3 кКал","1,9 г","4,7 г","6,5 г"
Икра кабачковая,"90,8 кКал","1,6 г","6,3 г","7,4 г"
Икра свекольная или морковная,"129,5 кКал","2,9 г","7,4 г","13,6 г"
Икра щучья,"87,1 кКал","17,3 г",2 г,0 г
Капуста маринованная,47 кКал,"0,8 г","0,05 г","11,5 г"
Квашеная капуста,27 кКал,"1,6 г","0,1 г","5,2 г"
Маринованная капуста,"126,6 кКал","1,7 г",10 г,"8,1 г"
Маринованная морская капуста,"12,5 кКал","0,9 г","0,2 г","1,9 г"
Маринованная свекла,"41,6 кКал","1,6 г","0,1 г","9,1 г"
Маринованные стрелки чеснока,"29,7 кКал","0,7 г","0,03 г","7,1 г"
Маринованный крыжовник,0 кКал,0 г,0 г,0 г
Маринованный чеснок,"42,4 кКал","1,8 г","0,1 г","9,1 г"
Морковь по-корейски,"112,6 кКал","1,2 г","8,2 г",9 г
Морковь по-корейски,"232,5 кКал","0,9 г","23,5 г","4,8 г"
Пюре из боярышника,"29,9 кКал",0 г,0 г,8 г
Рольмопс,"149,6 кКал","7,8 г","11,6 г","3,8 г"
Слива маринованная,"63,9 кКал","0,3 г","0,1 г","16,5 г"
Соленые огурцы,"11,2 кКал","0,6 г","0,08 г","2,2 г"
Черника в собственном соку,"38,3 кКал","1,1 г","0,6 г","7,6 г"
