Продукт,Калорийность,Белки,Жиры,Углеводы
Ассорти,0 кКал,0 г,0 г,0 г
Ассорти в азиатском стиле,"77,7 кКал","1,4 г",5 г,"7,2 г"
Ассорти из капусты и овощей,0 кКал,0 г,0 г,0 г
Ассорти мясное на хлебе,"375,2 кКал","11,1 г","26,1 г","25,5 г"
Ассорти рыбное на хлебе,"257,9 кКал","14,6 г","12,9 г","22,2 г"
Ассорти фруктовое,"59,4 кКал","2,4 г","1,3 г","10,3 г"
"Бутерброд закрытый с говяжьими котлетами, по 1-54",224 кКал,"11,1 г","6,2 г","30,2 г"
Бутерброд из баклажан,"97,8 кКал","4,3 г",2 г,"16,8 г"
Бутерброд из жареного мяса,"267,4 кКал","9,4 г",25 г,"1,2 г"
Бутерброд из плавленого сыра,"395,9 кКал","8,4 г","38,5 г","4,2 г"
Бутерброд из сыра,"403,2 кКал","16,9 г","35,8 г","3,6 г"
Бутерброд из творога с сельдью,"217,2 кКал","12,8 г","17,7 г","1,8 г"
Бутерброд из хрена,"433,2 кКал","4,6 г","44,9 г",3 г
Бутерброд пикантный,"316,6 кКал","11,8 г","20,8 г","21,9 г"
"Бутерброд с  зернистой икрой кеты, по 1-50","278,6 кКал","13,1 г","9,3 г","35,7 г"
Бутерброд с брынзой,"235,9 кКал","8,1 г",4 г,"44,8 г"
Бутерброд с горчичным маслом,"360,3 кКал","6,5 г","23,4 г",33 г
"Бутерброд с икрой осетровой, зернистой",267 кКал,"12,4 г","8,3 г","35,7 г"
Бутерброд с килькой,"307,8 кКал","7,3 г","20,3 г","25,6 г"
"Бутерброд с килькой и яйцом, по 1-52",233 кКал,"10,9 г","10,6 г","23,4 г"
"Бутерброд с любительской колбасой, по 1-48",275 кКал,"10,63 г","17,88 г","17,75 г"
Бутерброд с морковью и сыром,206 кКал,"7,1 г","11,6 г","19,4 г"
"Бутерброд с отварной говядиной, по 1-46",122 кКал,"7,6 г","3,7 г","14,2 г"
Бутерброд с селедочным маслом,"341,8 кКал","6,4 г","22,3 г","30,7 г"
"Бутерброд с соленой горбушей, по 1-50",220 кКал,"13,4 г","5,4 г","29,6 г"
Бутерброд с творогом и изюмом,"295,5 кКал","11,8 г","23,8 г","9,1 г"
Горячий бутерброд,"301,6 кКал","7,7 г","26,4 г","8,8 г"
Гренки из пшеничного хлеба (1-й вариант),"213,8 кКал","9,7 г","1,1 г",44 г
Гренки острые,"269,3 кКал","15,4 г","13,2 г","23,6 г"
Гренки с сыром,"295,2 кКал","13,9 г","13,6 г","31,3 г"
"Закуска ""Уральский рулет""","220,8 кКал","16,3 г","16,7 г","1,5 г"
Закуска из плавленого сыра с яйцом и майонезом,"355,3 кКал","17,3 г","31,1 г","1,6 г"
Закуска овощная с чесноком (марийское национальное блюдо),"166,4 кКал","1,7 г","12,5 г","12,5 г"
Закуска свекольная с орехами,"177,6 кКал","6,9 г","5,9 г","25,8 г"
"Заливное из птицы или дичи, или мясных продуктов в форме","213,6 кКал","18,7 г","14,4 г","2,4 г"
Икра овощная закусочная,"85,7 кКал",2 г,"4,8 г","9,1 г"
Икра осетровых рыб и икра кетовая,"308,5 кКал","16,7 г","22,4 г","10,7 г"
Канапе с бужениной и окороком,"354,9 кКал","9,9 г","27,6 г",18 г
Канапе с икрой и севрюгой,"253,5 кКал","11,5 г","15,1 г",19 г
"Канапе с икрой, семгой и осетром","289,2 кКал",19 г,"15,1 г","20,7 г"
Канапе с килькой и яйцом,"238,7 кКал","11,4 г","16,2 г","12,6 г"
Канапе с паштетом,"267,3 кКал","8,6 г","16,2 г","23,1 г"
Канапе с паюсной икрой,"233,3 кКал","10,2 г",14 г,"17,7 г"
Канапе с сыром,"388,5 кКал","13,4 г","28,2 г","21,7 г"
Канапе с сыром и окороком,"364,9 кКал","12,8 г","27,1 г","18,5 г"
Квашеная капуста с орехами,"82,8 кКал","4,7 г","0,2 г","16,6 г"
"Колбаса русская, свадебная","160,9 кКал","13,1 г","11,8 г","0,5 г"
Колбаски из сельдерея,114 кКал,"5,3 г","5,1 г","12,6 г"
"Колбасные, мясные изделия, запеченные в тесте","265,1 кКал","11,6 г","14,3 г","23,9 г"
