Продукт,Калорийность,Белки,Жиры,Углеводы
Гречневая каша рассыпчатая,"98,7 кКал","3,6 г","2,2 г","17,1 г"
"Каша ""Янтарная""(из пшена я яблоками)","138,9 кКал","3,8 г","6,5 г","17,5 г"
Каша боярская (из пшена с изюмом),"221,7 кКал","4,8 г","14,4 г","19,5 г"
Каша вязкая из пшена с тыквой,158 кКал,"4,2 г",8 г,"18,5 г"
Каша гурьевская,"151,2 кКал","4,4 г","5,4 г","22,6 г"
Каша из тыквы с манкой,"161,5 кКал","2,8 г","8,4 г","19,9 г"
Каша манная коричневая,"162,1 кКал","5,3 г",6 г,"23,2 г"
Каша пшенная с сушеными сливами,"121,3 кКал","2,4 г","2,9 г","22,7 г"
Каша рисовая с какао,"146,2 кКал","4,1 г",6 г,"20,3 г"
Манная каша на клюквенном соке,"112,7 кКал","1,9 г","4,6 г",17 г
Манная каша с морковью,"97,3 кКал","2,7 г","5,6 г","9,7 г"
Мучная каша,"95,3 кКал","3,4 г","4,9 г","10,2 г"
Рисовая каша с черносливом,"128,5 кКал","1,9 г","2,4 г","26,4 г"
Рисовая с абрикосами по-венгерски,"119,7 кКал","2,6 г","0,3 г","28,5 г"
Яблочно-манная каша,"128,4 кКал","1,9 г","4,3 г",22 г
Яичная каша (натуральная),"180,3 кКал","10,3 г",11 г,"10,8 г"
Яичная каша с овощами или грибами,261 кКал,"15,9 г","13,2 г","20,9 г"
Ячневая каша с картофелем,"48,6 кКал","1,8 г",1 г,"8,7 г"
