Продукт,Калорийность,Белки,Жиры,Углеводы
Борщ,"57,7 кКал","3,8 г","2,9 г","4,3 г"
Борщ из свежей капусты и картофеля по 1-110,36 кКал,1 г,"1,1 г","5,4 г"
Борщ кубанский с кабачками,"88,2 кКал","4,9 г","5,7 г","4,7 г"
Борщ летний (с ботвой свеклы),69 кКал,"3,9 г","3,2 г","6,6 г"
Борщ летний по 1-122,38 кКал,"1,1 г","1,2 г","5,7 г"
Борщ московский,"115,5 кКал","8,3 г","7,2 г","4,6 г"
Борщ по 1-110,29 кКал,"0,8 г",1 г,"4,1 г"
Борщ по-вегетариански,"34,7 кКал","0,5 г","2,7 г","2,2 г"
Борщ с капустой и картофелем,"61,6 кКал","3,8 г","2,9 г","5,4 г"
Борщ с картофелем по 1-112,42 кКал,"1,1 г","1,1 г","6,8 г"
Борщ с черносливом и грибами,74 кКал,"4,6 г","3,1 г","7,4 г"
Борщ сибирский,"76,7 кКал","5,4 г","3,4 г","6,5 г"
Борщ украинский,"90,2 кКал","4,4 г","4,4 г","8,7 г"
Борщ украинский по 1-122,50 кКал,"1,1 г","2,2 г","6,5 г"
Борщ холодный,"27,1 кКал","1,1 г","1,3 г",3 г
Борщ холодный,"45,7 кКал","1,5 г","3,2 г",3 г
Говяжий суп,"28,8 кКал","2,3 г","1,1 г","2,6 г"
Голландский зеленый суп,"65,3 кКал","4,8 г","1,4 г","8,8 г"
Голландский зеленый суп,0 кКал,0 г,0 г,0 г
Гороховый суп,"54,3 кКал","2,2 г",3 г,5 г
Грибной борщ,"27,1 кКал","0,7 г","2,1 г","1,4 г"
Грибной суп,"50,9 кКал","0,8 г","3,4 г","4,6 г"
Куриный суп по-индийски,0 кКал,0 г,0 г,0 г
Куриный суп с макаронами,"59,7 кКал","4,5 г","3,3 г","3,1 г"
Литовский холодный борщ,"63,8 кКал","2,9 г","2,2 г","8,6 г"
Лэпсытепх (бульон с жареными орешками из муки и зажаркой - адыгейское национальное блюдо),"167,1 кКал","11,4 г","10,3 г","7,6 г"
Молочный суп с морковью,"33,6 кКал","1,6 г","1,5 г","3,7 г"
"Окрошка мясная на кефире с говядиной, по 1-194",39 кКал,"2,8 г","1,1 г","4,3 г"
"Окрошка мясная со сметаной и говядиной,  по 1-192",52 кКал,"2,1 г","1,7 г","6,3 г"
Окрошка овощная по 1-192,39 кКал,"0,9 г","0,8 г","6,8 г"
Похлебка грибная (карельское национальное блюдо),"81,6 кКал","3,1 г","4,1 г","8,5 г"
Похлебка из сардин в горшочке,"115,8 кКал","6,4 г","6,9 г","7,5 г"
Похлебка по-суворовски,"70,4 кКал","8,7 г","2,4 г","3,8 г"
Похлебка рыбная по-сибирски,"57,8 кКал","4,8 г","1,5 г","6,7 г"
Похлебка старомосковская,"94,1 кКал","3,6 г","7,1 г","4,2 г"
Рассольник,"40,4 кКал","0,9 г","1,6 г","5,9 г"
Рассольник,0 кКал,0 г,0 г,0 г
Рассольник домашний,"38,4 кКал","0,9 г","1,6 г","5,4 г"
Рассольник домашний по 1-136,36 кКал,1 г,1 г,"5,8 г"
Рассольник ленинградский,"53,3 кКал","1,3 г","1,7 г","8,8 г"
Рассольник по-кубански,"100,8 кКал","4,9 г","5,7 г","7,9 г"
Рисовый грибной суп,"62,7 кКал",2 г,"2,2 г","9,3 г"
Свекольник холодный,"62,6 кКал","1,8 г","3,6 г","6,2 г"
Свекольник холодный по 1-198,30 кКал,"0,8 г","0,2 г","6,1 г"
Сладкий суп из черники с клецками,"75,8 кКал","1,4 г","1,3 г","15,6 г"
Солянка грибная по 1-172,18 кКал,"0,5 г","1,2 г","1,3 г"
"Солянка рыбная, по 1-170",25 кКал,"2,4 г","1,2 г","1,2 г"
"Солянка сборная мясная, по 1-168",39 кКал,"2,1 г","2,8 г","1,3 г"
"Суп ""Ереванский""","54,1 кКал","3,1 г","1,9 г","6,5 г"
"Суп ""Хинкал"" (суп с мясом и ракушками - дагестанское национальное блюдо)","125,1 кКал","10,2 г","6,1 г","7,8 г"
Суп вишневый с клецками,"79,3 кКал",2 г,"1,1 г","16,4 г"
Суп гороховый с яблоками,44 кКал,"2,5 г","2,3 г","3,6 г"
Суп грибной картофельный,"45,5 кКал","0,8 г","3,7 г","2,6 г"
Суп грибной с пирожками,"60,3 кКал","1,3 г","5,2 г","2,2 г"
Суп из белых грибов с макаронами,"58,1 кКал","1,4 г","4,7 г","2,8 г"
Суп из говядины,"41,9 кКал","2,4 г","2,5 г","2,6 г"
Суп из клюквы и яблок,51 кКал,"0,4 г","1,9 г","8,7 г"
Суп из моркови и кефира,58 кКал,"2,3 г","2,1 г",8 г
Суп из овощей,"36,7 кКал","1,7 г","1,6 г","4,2 г"
