Продукт,Калорийность,Белки,Жиры,Углеводы
Взбитый Крем [Campina],232 кКал,"2,1 г",20 г,11 г
Взбитый Сливочный Крем [Campina],242 кКал,"2,5 г",20 г,12 г
Йогурт [Campina],85 кКал,"2,5 г","1,2 г",16 г
Йогурт Натуральный [Campina],"70,1 кКал","3,5 г","2,9 г","7,5 г"
Йогурт Нежный Крем-Карамель [Campina],85 кКал,"2,5 г","1,2 г",16 г
Йогурт Нежный Латте Макиато [Campina],95 кКал,"2,5 г","1,2 г",18 г
Йогурт Нежный Лёгкий с Соком Клубники [Campina],75 кКал,"2,5 г","0,1 г",16 г
Йогурт Нежный Легкий с Соком Лесных Ягод [Campina],85 кКал,"2,5 г","0,1 г",18 г
Йогурт Нежный Легкий с Соком Персика [Campina],75 кКал,"2,5 г","0,1 г",16 г
Йогурт Нежный Натуральный [Campina],70 кКал,"3,5 г","2,9 г","7,5 г"
Йогурт Нежный с Кусочками Персика и Маракуйи [Campina],100 кКал,"2,5 г","2,5 г",17 г
Йогурт Нежный с Пюре Клубники [Campina],82 кКал,"2,4 г","0,1 г","17,8 г"
Йогурт Нежный с Пюре Клубники и Банана [Campina],82 кКал,"2,4 г","0,1 г","17,8 г"
Йогурт Нежный с Пюре Яблока и Абрикоса [Campina],82 кКал,"2,4 г","0,1 г","17,8 г"
Йогурт Нежный с Соком Абрикоса и Манго [Campina],85 кКал,"2,5 г","1,2 г",16 г
"Йогурт Нежный с Соком Абрикоса и Манго 1,2% [Campina]",85 кКал,"2,5 г","1,2 г",16 г
Йогурт Нежный с Соком Арбуза [Campina],64 кКал,"1,4 г","0,1 г",14 г
Йогурт Нежный с Соком Банана и Клубники [Campina],85 кКал,"2,5 г","1,2 г",16 г
Йогурт Нежный с Соком Вишни [Campina],50 кКал,"1,5 г","0,1 г",11 г
"Йогурт Нежный с Соком Вишни 1,2% [Campina]",85 кКал,"2,5 г","1,2 г",16 г
Йогурт Нежный с Соком Граната и Малины [Campina],50 кКал,"1,5 г","0,1 г",11 г
"Йогурт Нежный с Соком Клубники 0,1% [Campina]",75 кКал,"2,5 г","0,1 г",16 г
"Йогурт Нежный с Соком Лесных Ягод 0,1% [Campina]",75 кКал,"2,5 г","0,1 г",16 г
