Продукт,Калорийность,Белки,Жиры,Углеводы
Fitness Батончик с Цельными Злаками [Nestle (Нестле)],88 кКал,"1,3 г","1,6 г","16,4 г"
Fitness Батончик с Цельными Злаками и Клубникой [Nestle (Нестле)],87 кКал,"1,4 г","1,6 г","16,2 г"
Fitness Батончик с Цельными Злаками и Шоколадом [Nestle (Нестле)],88 кКал,"1,3 г","1,7 г","16,3 г"
Fitness Хлопья из Цельной Пшеницы [Nestle (Нестле)],352 кКал,"9,2 г","2,2 г","73,9 г"
Nuts [Nestle (Нестле)],247 кКал,3 г,12 г,31 г
Батончик Nestle Fitness с цельными злаками и клубникой [Nestle (Нестле)],369 кКал,"5,8 г","6,7 г","68,9 г"
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые [Nestle (Нестле)],400 кКал,"7,2 г",5 г,"76,2 г"
Гречневая каша Nestle безмолочная [Nestle (Нестле)],377 кКал,11 г,3 г,"76,5 г"
Гречневая каша Nestle безмолочная с черносливом [Nestle (Нестле)],377 кКал,11 г,3 г,"76,5 г"
Гречневая каша Nestle молочная [Nestle (Нестле)],410 кКал,14 г,10 г,66 г
Гречневая каша Nestle молочная с курагой [Nestle (Нестле)],410 кКал,14 г,10 г,66 г
Каша 3 злака Nestle молочная с яблоком и грушей [Nestle (Нестле)],416 кКал,14 г,10 г,"67,5 г"
Каша 5 злаков Nestle молочная с яблоком и бананом [Nestle (Нестле)],418 кКал,14 г,10 г,68 г
Кукурузные Хлопья Хрутка [Nestle (Нестле)],375 кКал,"6,5 г","0,9 г","85,4 г"
Мороженое Maxibon Страчателла [Nestle (Нестле)],314 кКал,"3,4 г",15 г,"40,5 г"
Мороженое Nestle Extreme Пломбир с чёрной смородиной [Nestle (Нестле)],262 кКал,"2,6 г","12,6 г","35,5 г"
Мороженое Nestle Extreme Тропик [Nestle (Нестле)],236 кКал,"2,4 г","7,5 г",39 г
Мороженое Nestle Maxibon с печеньем и орехами [Nestle (Нестле)],307 кКал,"3,6 г",15 г,"39,2 г"
Мороженое Nestle Maxibon Страчателла [Nestle (Нестле)],307 кКал,"3,6 г",15 г,"39,4 г"
Овсяная каша Nestle безмолочная [Nestle (Нестле)],382 кКал,10 г,6 г,72 г
Овсяная каша Nestle молочная с грушей и бананом [Nestle (Нестле)],406 кКал,14 г,10 г,65 г
Овсяная каша Nestle молочная с яблоком и абрикосом [Nestle (Нестле)],406 кКал,14 г,10 г,65 г
Пломбир 48 Копеек [Nestle (Нестле)],221 кКал,"2,7 г","13,5 г","21,7 г"
Пшеничная каша Nestle молочная с бананом [Nestle (Нестле)],414 кКал,15 г,10 г,66 г
Пшеничная каша Nestle молочная с тыквой [Nestle (Нестле)],414 кКал,15 г,10 г,66 г
Пшеничная каша Nestle молочная с яблоком [Nestle (Нестле)],414 кКал,15 г,10 г,66 г
Рисовая каша Nestle безмолочная [Nestle (Нестле)],381 кКал,"6,5 г",1 г,"86,5 г"
Рисовая каша Nestle молочная с бананом [Nestle (Нестле)],422 кКал,12 г,10 г,"70,9 г"
Рисовая каша Nestle молочная с яблоком [Nestle (Нестле)],422 кКал,12 г,10 г,"70,9 г"
Фитнес Батончик [Nestle (Нестле)],87 кКал,"1,4 г","1,6 г","16,2 г"
Хлопья Fitness [Nestle (Нестле)],106 кКал,"2,6 г","0,6 г","22,53 г"
Хлопья Fitness с Фруктами [Nestle (Нестле)],364 кКал,"6,4 г","2,8 г","75,5 г"
Хлопья Fitness Темный Шоколад [Nestle (Нестле)],380 кКал,"8,2 г","7,3 г","70,3 г"
"Хлопья Fitness Фрукты, Ягоды и Орехи [Nestle (Нестле)]",350 кКал,"6,5 г","2,9 г","74,6 г"
Хлопья Nestle Fitness из цельной пшеницы [Nestle (Нестле)],357 кКал,"8,3 г",2 г,"76,4 г"
Хлопья Nestle Fitness с тёмным шоколадом [Nestle (Нестле)],384 кКал,8 г,"6,7 г","72,9 г"
Хлопья Nestle Fitness с фруктами [Nestle (Нестле)],352 кКал,"6,4 г","2,6 г","75,7 г"
Хлопья Фитнесс [Nestle (Нестле)],353 кКал,"8,6 г","0,9 г","17,1 г"
Шоколад Nestle After Eight [Nestle (Нестле)],428 кКал,"2,5 г","12,8 г","74,4 г"
Шоколад Nestle for Men [Nestle (Нестле)],555 кКал,"7,5 г","33,8 г","54,9 г"
Шоколад Nestle for Men с фундуком [Nestle (Нестле)],572 кКал,"8,6 г","36,5 г","47,8 г"
Шоколад Nestle for Men с цельным миндалем [Nestle (Нестле)],560 кКал,"8,6 г","35,8 г","51,1 г"
Шоколад Nestle Nesquik [Nestle (Нестле)],485 кКал,"5,9 г","22,1 г","65,6 г"
