Продукт,Калорийность,Белки,Жиры,Углеводы
Arome Framboise [Ашан],37 кКал,"4,3 г","0,1 г","4,7 г"
Cannelloni [Ашан],324 кКал,12 г,1 г,67 г
Caramchoc [Ашан],396 кКал,"8,4 г","5,2 г",76 г
Choco Crac [Ашан],506 кКал,"8,2 г",26 г,59 г
Crousty [Ашан],414 кКал,"5,4 г","11,3 г","71,1 г"
Fromage Blanc [Ашан],110 кКал,7 г,"7,8 г","2,9 г"
Fromage Blanc 0% [Ашан],46 кКал,8 г,0 г,"3,4 г"
Fromage Blanc Vanille 0% [Ашан],76 кКал,"7,1 г","0,1 г",12 г
Fromage Frais [Ашан],46 кКал,8 г,"0,1 г","3,4 г"
Galletas Fondants [Ашан],513 кКал,"7,5 г",24 г,65 г
Golden Crack [Ашан],379 кКал,"6,5 г",2 г,81 г
Lait Fourre [Ашан],569 кКал,"8,3 г",37 г,50 г
Minicookies [Ашан],392 кКал,"8,1 г",4 г,78 г
Noir Degustation 72% [Ашан],555 кКал,"8,4 г","42,1 г","29,7 г"
Noir Degustation 74% [Ашан],569 кКал,8 г,"44,4 г","28,6 г"
Noir Degustation 85% [Ашан],591 кКал,8 г,"51,6 г","16,8 г"
Pastina Gemmine [Ашан],350 кКал,12 г,"1,2 г",71 г
Petit Brie [Ашан],355 кКал,19 г,31 г,"0,1 г"
Pomme Fraise [Ашан],69 кКал,"0,5 г","0,5 г",14 г
Puffed Heart [Ашан],386 кКал,"9,8 г","1,9 г",79 г
Up To Go A Grignoter [Ашан],474 кКал,"5,8 г",18 г,71 г
Абрикос [Ашан],44 кКал,"0,9 г","0,1 г",9 г
Абрикос Сушеный [Ашан],230 кКал,5 г,"0,5 г",51 г
Абрикосы Сушёные [Ашан],220 кКал,"1,5 г","0,5 г",52 г
Авокадо Хасс [Ашан],144 кКал,2 г,16 г,"2,6 г"
Азиатский Соус Wok с Грибами Шиитаке [Ашан],150 кКал,2 г,10 г,14 г
"Азу из Говядины ""Фермерская"" [Ашан]",240 кКал,14 г,20 г,0 г
Азу из Говядины [Ашан],123 кКал,19 г,5 г,0 г
Азу из Мяса Молодых Бычков [Ашан],240 кКал,14 г,20 г,0 г
Айва [Ашан],40 кКал,"0,6 г","0,5 г","9,8 г"
Алыча [Ашан],27 кКал,"0,2 г",0 г,"6,9 г"
Ананас [Ашан],38 кКал,"0,4 г","0,2 г","11,5 г"
Ананас в Сиропе Кусочки [Ашан],70 кКал,0 г,0 г,17 г
Ананас Кольцо [Ашан],356 кКал,"0,7 г","0,8 г","83,4 г"
Ананас Кольцо Вес [Ашан],120 кКал,"1,5 г","0,3 г",30 г
Ананас Листики Микс (Сушеный) [Ашан],350 кКал,0 г,0 г,87 г
Ананас Сушеные Язычки [Ашан],339 кКал,"0,8 г","0,4 г","82,2 г"
Ананас Сушеный Кубик [Ашан],339 кКал,"0,8 г","0,4 г","82,2 г"
Ананас Сушеный Язычки [Ашан],339 кКал,"0,8 г","0,4 г","82,2 г"
Антрекот из Говядины [Ашан],131 кКал,17 г,7 г,0 г
Антрекот из Телятины [Ашан],85 кКал,19 г,1 г,0 г
Антрекот на Кости из Мяса Молодых Бычков [Ашан],160 кКал,17 г,10 г,0 г
Апельсин [Ашан],43 кКал,"0,9 г","0,2 г","8,1 г"
Апельсин Темный Шоколад со Стевией [Ашан],453 кКал,"5,2 г","31,8 г","37,1 г"
Арахис в Кокосовой Глазури [Ашан],339 кКал,10 г,26 г,60 г
