Продукт,Калорийность,Белки,Жиры,Углеводы
Ассорти из фасоли с ананасами в соусе Карри [Бондюэль],62 кКал,"3,8 г","1,1 г","9,3 г"
"Ассорти из цветной капусты, романеско и брокколи [Бондюэль]",66 кКал,"1,8 г","2,7 г","8,6 г"
Баклажаны Гриль [Бондюэль],43 кКал,2 г,"0,3 г","5,6 г"
Баклажаны по-Тоскански [Бондюэль],100 кКал,"1,2 г","7,2 г","5,8 г"
Белая Фасоль [Бондюэль],66 кКал,7 г,"0,4 г",6 г
Белая Фасоль в Пряном Карри [Бондюэль],100 кКал,4 г,"7,5 г","3,1 г"
"Белая Фасоль в Томатном Соусе ""Пикантная"" [Бондюэль]",124 кКал,"5,8 г","2,8 г",19 г
Белая Фасоль в Томатном Соусе [Бондюэль],78 кКал,"5,5 г","0,4 г","13,2 г"
Белая фасоль консервированная [Бондюэль],99 кКал,"6,7 г","0,3 г","17,4 г"
Белая фасоль Пикантная в томатном соусе [Бондюэль],125 кКал,"5,5 г",3 г,19 г
Брокколи [Бондюэль],30 кКал,"2,6 г","0,2 г",5 г
Брокколи замороженная [Бондюэль],23 кКал,"2,7 г","0,1 г","4,9 г"
Брюссельская капуста замороженная [Бондюэль],31 кКал,4 г,"0,5 г",8 г
Букетики из Зеленой Фасоли [Бондюэль],18 кКал,"1,6 г","0,2 г","1,3 г"
Вок [Бондюэль],30 кКал,"2,8 г","0,2 г","4,5 г"
Галеты Овощные [Бондюэль],83 кКал,4 г,"4,2 г",6 г
Горошек Зелёный Быстрозамороженный [Бондюэль],70 кКал,5 г,"0,2 г",13 г
Горошек Консервированный [Бондюэль],52 кКал,"6,6 г",0 г,"15,4 г"
Грибное ризотто в томатном соусе [Бондюэль],82 кКал,"2,4 г","0,8 г","16,3 г"
Зелёная стручковая фасоль замороженная [Бондюэль],28 кКал,"1,9 г","0,2 г","7,6 г"
Зеленая Фасоль Резаная [Бондюэль],18 кКал,"1,6 г","0,1 г","1,2 г"
Зелёная фасоль резаная [Бондюэль],25 кКал,"1,4 г","0,2 г","4,4 г"
Зелёная Фасоль Целая [Бондюэль],33 кКал,"1,8 г","0,2 г","7,6 г"
"Зеленый Горошек ""Нежный"" [Бондюэль]",52 кКал,"4,8 г","0,2 г","7,5 г"
Зелёный Горошек [Бондюэль],52 кКал,"4,8 г","0,2 г","7,5 г"
"Зелёный Горошек в Овощном Салате ""Маседуан"" [Бондюэль]",43 кКал,"2,2 г","0,7 г","4,9 г"
Зелёный горошек замороженный [Бондюэль],85 кКал,"6,9 г","0,4 г","19,4 г"
Зелёный Горошек Консервированный [Бондюэль],74 кКал,"5,5 г","0,7 г","7,4 г"
Зелёный горошек Нежный [Бондюэль],66 кКал,5 г,"0,3 г","10,7 г"
"Зелёный Горошек Нежный 0,2% [Бондюэль]",52 кКал,"4,8 г","0,2 г","7,5 г"
"Зелёный Горошек Нежный 0,7% [Бондюэль]",52 кКал,"4,8 г","0,2 г","7,5 г"
Зелёный Горошек Нежный 0% [Бондюэль],89 кКал,"6,6 г",0 г,"15,4 г"
Зелёный Горошек с Молодой Морковью [Бондюэль],48 кКал,"2,7 г","0,4 г","6,5 г"
Зелёный Горошек с Морковью [Бондюэль],49 кКал,"3,2 г","0,5 г","5,4 г"
Зелёный Горошек с Морковью в Кубиках [Бондюэль],49 кКал,"2,5 г","0,7 г","5,8 г"
Икра Баклажанная [Бондюэль],102 кКал,"1,7 г",7 г,"8,1 г"
Икра из Баклажанов Запеченных на Гриле [Бондюэль],102 кКал,"1,7 г",7 г,"8,1 г"
Икра из Кабачков [Бондюэль],97 кКал,1 г,7 г,7 г
Италия Микс [Бондюэль],76 кКал,2 г,"3,5 г","6,8 г"
Кабачки по-Тоскански [Бондюэль],72 кКал,"1,5 г","3,4 г",8 г
Капуста Брокколи [Бондюэль],30 кКал,"2,3 г","0,3 г","3,2 г"
Капуста Романеско [Бондюэль],25 кКал,"2,9 г","0,5 г","2,2 г"
