Продукт,Калорийность,Белки,Жиры,Углеводы
Бекон с Луком [Крошка-Картошка],300 кКал,15 г,"23,2 г","8,2 г"
Болгарский Наполнитель [Крошка-Картошка],100 кКал,"4,5 г","7,2 г","4,2 г"
Большой Бутерброд с Куриной Грудкой [Крошка-Картошка],560 кКал,"20,5 г",33 г,"45,3 г"
Борщ [Крошка-Картошка],39 кКал,"2,4 г","1,2 г","4,8 г"
Брускетта с Моцареллой и Томатами [Крошка-Картошка],167 кКал,"9,1 г","11,8 г","6,3 г"
Брынза с Растительным Маслом [Крошка-Картошка],212 кКал,"12,3 г",18 г,"0,2 г"
Брынза с Укропом [Крошка-Картошка],288 кКал,"9,3 г","27,8 г","0,1 г"
Бутерброд с Ветчиной и Сыром [Крошка-Картошка],310 кКал,"12,8 г","16,7 г","27,3 г"
Бутерброд с Красной Рыбой [Крошка-Картошка],452 кКал,"19,4 г","24,6 г",38 г
Бутерброд с Куриной Грудкой [Крошка-Картошка],280 кКал,"10,2 г","16,5 г","22,6 г"
Вареники с Творогом [Крошка-Картошка],225 кКал,"12,9 г","4,1 г","39,2 г"
Гороховый Суп с Копченостями [Крошка-Картошка],46 кКал,"1,8 г","2,2 г","4,7 г"
Гратен с Курицей и Картофелем [Крошка-Картошка],522 кКал,"19,2 г","43,6 г","13,2 г"
Гренки Восемь Злаков [Крошка-Картошка],277 кКал,4 г,"16,4 г","28,2 г"
Греческий Салат [Крошка-Картошка],68 кКал,"1,9 г","5,2 г","3,4 г"
Грибочки Маринованные [Крошка-Картошка],52 кКал,"1,9 г","2,3 г","5,8 г"
Деревенский [Крошка-Картошка],236 кКал,"5,3 г","21,7 г","4,9 г"
Дольки Картофельные [Крошка-Картошка],78 кКал,2 г,"0,4 г","16,7 г"
Закусочный с Опятами [Крошка-Картошка],51 кКал,"1,1 г","4,4 г","1,6 г"
Картофель Печеный с Сыром [Крошка-Картошка],290 кКал,"17,1 г","7,8 г","37,7 г"
Картофель Печеный с Сыром [Крошка-Картошка],115 кКал,"6,6 г",3 г,"14,5 г"
Картофель Печеный с Сыром и Маслом [Крошка-Картошка],158 кКал,"7,9 г",8 г,"13,5 г"
Картофель Премиум с Моцареллой и Томатами [Крошка-Картошка],116 кКал,"5,3 г","6,7 г","8,8 г"
Картофель с Укропом и Растительным Маслом [Крошка-Картошка],129 кКал,"1,9 г","6,9 г","14,7 г"
Клубенёк по-Французски с Жульеном с Курицей и Грибами [Крошка-Картошка],84 кКал,"3,1 г",1 г,"15,7 г"
Клубенёк с Деревенской Сметаной [Крошка-Картошка],128 кКал,"3,4 г","8,4 г","9,6 г"
Клубенёк с Красной Рыбкой [Крошка-Картошка],142 кКал,8 г,"8,6 г","8,1 г"
Клубничный Фреш [Крошка-Картошка],72 кКал,"0,8 г","0,2 г","16,8 г"
Краб Ролл [Крошка-Картошка],292 кКал,"5,5 г","17,8 г","27,5 г"
Крошка-Картошка с Сыром,130 кКал,"6,1 г",6 г,"10,6 г"
Куриный [Крошка-Картошка],328 кКал,"7,4 г",31 г,"4,9 г"
Куриный Пай [Крошка-Картошка],448 кКал,16 г,30 г,28 г
Лапша Куриная [Крошка-Картошка],60 кКал,"2,8 г","4,8 г","1,5 г"
Мини Биф Ролл [Крошка-Картошка],232 кКал,"7,8 г",9 г,"28,6 г"
Молочный Коктейль [Крошка-Картошка],112 кКал,"3,9 г",3 г,18 г
Морс Ягодный [Крошка-Картошка],28 кКал,"0,2 г",0 г,"6,9 г"
Наполнитель Брынза с Укропом [Крошка-Картошка],352 кКал,"7,5 г",34 г,"3,9 г"
Наполнитель Грибной Микс [Крошка-Картошка],215 кКал,"1,5 г","20,6 г","5,9 г"
Наполнитель Закусочный [Крошка-Картошка],38 кКал,"1,4 г","2,8 г","1,8 г"
Наполнитель Закусочный С Грибами [Крошка-Картошка],66 кКал,"1,5 г","4,2 г","5,4 г"
Наполнитель Крабовое Мясо [Крошка-Картошка],338 кКал,"3,4 г","30,4 г","12,8 г"
Наполнитель Крабовый [Крошка-Картошка],355 кКал,"10,5 г",34 г,"1,9 г"
Наполнитель Красная Рыба [Крошка-Картошка],78 кКал,2 г,"7,7 г",0 г
Наполнитель Красная Рыбка [Крошка-Картошка],235 кКал,17 г,"18,5 г",0 г
Наполнитель Куриный [Крошка-Картошка],197 кКал,"4,4 г","18,6 г","2,9 г"
Наполнитель Курица Барбекю [Крошка-Картошка],178 кКал,"10,8 г","10,2 г","10,8 г"
Наполнитель Мясное Ассорти [Крошка-Картошка],251 кКал,"9,1 г","23,5 г","0,9 г"
Наполнитель Мясо-Барбекю [Крошка-Картошка],167 кКал,"5,6 г","12,3 г","8,4 г"
Наполнитель Салат Домашний [Крошка-Картошка],237 кКал,12 г,"20,5 г","1,2 г"
Наполнитель Сосиски в Горчичном Соусе [Крошка-Картошка],158 кКал,"4,5 г","13,8 г","3,8 г"
Наполнитель Сырный [Крошка-Картошка],433 кКал,"19,1 г","38,7 г","2,3 г"
Наполнитель Сырный с Ветчиной [Крошка-Картошка],202 кКал,"12,3 г","16,5 г","0,9 г"
Наполнитель Сырный с Морковью [Крошка-Картошка],447 кКал,"13,9 г","42,4 г","2,5 г"
Наполнитель Тунец Васаби [Крошка-Картошка],262 кКал,"10,1 г","17,6 г",16 г
Наполнитель Фета со Сладким Перцем [Крошка-Картошка],370 кКал,8 г,"35,2 г","5,4 г"
Окрошка на Айране [Крошка-Картошка],47 кКал,3 г,"2,7 г","2,7 г"
Патата Грибы [Крошка-Картошка],83 кКал,"1,6 г","5,7 г","6,4 г"
Печёные Баклажаны [Крошка-Картошка],105 кКал,"1,5 г","5,3 г","12,7 г"
Печеный Картофель с Грибами [Крошка-Картошка],284 кКал,6 г,"11,2 г","40,8 г"
Печеный Картофель с Мясом и Маслом [Крошка-Картошка],130 кКал,"5,2 г",6 г,"13,5 г"
Ролл с Креветками [Крошка-Картошка],193 кКал,"9,3 г","8,6 г","19,7 г"
Ролл с Курицей и Овощами [Крошка-Картошка],634 кКал,"17,4 г","61,6 г","2,8 г"
Салат Закусочный [Крошка-Картошка],75 кКал,"2,8 г","5,5 г","3,6 г"
Салат Куриный [Крошка-Картошка],328 кКал,"7,4 г",31 г,"4,9 г"
Салат с Брынзой и Свежими Овощами [Крошка-Картошка],242 кКал,4 г,"22,4 г","6,2 г"
Салат с Фермерской Курочкой [Крошка-Картошка],154 кКал,"8,1 г","10,9 г","5,8 г"
Салат Цезарь [Крошка-Картошка],154 кКал,"8,1 г","10,9 г","5,8 г"
Солянка Мясная [Крошка-Картошка],49 кКал,"2,9 г","2,5 г","3,9 г"
Сосиски в Горчичном Соусе [Крошка-Картошка],255 кКал,"7,3 г","22,3 г","6,2 г"
Сырники с Вишневым Соусом [Крошка-Картошка],262 кКал,"10,1 г","8,7 г","35,7 г"
Сырники со Сметаной [Крошка-Картошка],245 кКал,"10,9 г","14,8 г","16,9 г"
Сырный с Ветчиной [Крошка-Картошка],336 кКал,"20,5 г","27,5 г","1,5 г"
Сэндвич Классический с Ветчиной [Крошка-Картошка],267 кКал,"8,3 г","9,4 г","37,2 г"
Сэндвич с Ветчиной и Сыром [Крошка-Картошка],310 кКал,"12,8 г","16,7 г","27,3 г"
Сэндвич с Красной Рыбкой [Крошка-Картошка],226 кКал,"10,4 г","15,5 г","21,2 г"
Сэндвич с Куриной Грудкой [Крошка-Картошка],300 кКал,"9,7 г","12,8 г","36,7 г"
Тарт Бисквитный с Вишней [Крошка-Картошка],584 кКал,"8,7 г",47 г,"31,7 г"
Тарт Лесная Ягода [Крошка-Картошка],150 кКал,"1,7 г","4,8 г","24,8 г"
Тост Мясной [Крошка-Картошка],314 кКал,"12,8 г",18 г,"25,2 г"
Тост с Сыром [Крошка-Картошка],420 кКал,"16,3 г","17,5 г","38,8 г"
Хлеб с Чесночным Маслом [Крошка-Картошка],137 кКал,"2,1 г","9,4 г",11 г
Холодец [Крошка-Картошка],43 кКал,"6,9 г","2,2 г","0,6 г"
Чизкейк [Крошка-Картошка],328 кКал,5 г,"21,3 г","29,3 г"
