Продукт,Калорийность,Белки,Жиры,Углеводы
Cherry Fresh [Пятерочка],42 кКал,0 г,0 г,"10,5 г"
Choco Banana [Пятерочка],368 кКал,9 г,9 г,70 г
Easy Смузи [Пятерочка],50 кКал,"0,6 г",0 г,12 г
Energy To Go [Пятерочка],4 кКал,0 г,0 г,"0,5 г"
Immuno Lakto Драконий Фрукт [Пятерочка],88 кКал,"2,6 г","2,5 г","13,9 г"
Jake Vitamincandy [Пятерочка],245 кКал,"0,5 г","0,7 г","88,5 г"
Kids Chocolate [Пятерочка],560 кКал,"4,6 г","36,5 г","53,4 г"
Koukou Roukou [Пятерочка],533 кКал,"2,8 г",31 г,60 г
Абрикос [Пятерочка],44 кКал,"0,9 г","0,1 г",9 г
Авокадо [Пятерочка],212 кКал,2 г,20 г,6 г
Апельсин [Пятерочка],36 кКал,"0,9 г","0,2 г","8,1 г"
Арахис [Пятерочка],610 кКал,30 г,50 г,10 г
Арахис Жареный Солёный [Пятерочка],608 кКал,26 г,50 г,"13,4 г"
Багет Барра [Пятерочка],288 кКал,"10,9 г","1,2 г",57 г
Багет Пшенично-Ржаной [Пятерочка],278 кКал,"9,3 г","5,9 г","46,1 г"
Багет Суворовский [Пятерочка],226 кКал,13 г,"3,5 г",36 г
Багет Традиционный [Пятерочка],267 кКал,"8,4 г","1,2 г","54,3 г"
Багет Французский [Пятерочка],272 кКал,"8,3 г","2,1 г","54,9 г"
Банан [Пятерочка],89 кКал,"1,1 г","0,3 г",23 г
Батон Нарезной [Пятерочка],260 кКал,"7,5 г",3 г,51 г
Батончик с Чесноком [Пятерочка],375 кКал,"7,9 г","4,4 г",48 г
Батончик Сырный [Пятерочка],173 кКал,"5,3 г",4 г,32 г
Блины Рестория [Пятерочка],246 кКал,"5,4 г","14,4 г","23,7 г"
Булочка Даллас [Пятерочка],406 кКал,9 г,"16,9 г","54,5 г"
Булочка из Пшеничной Муки с Кунжутом [Пятерочка],274 кКал,"8,9 г","3,1 г","52,4 г"
Булочка Техас [Пятерочка],416 кКал,"8,4 г","16,2 г",59 г
Бульон из Баранины [Пятерочка],70 кКал,5 г,5 г,3 г
Буше Багет Летний [Пятерочка],277 кКал,"9,3 г","1,6 г","56,5 г"
