Продукт,Калорийность,Белки,Жиры,Углеводы
Белый гриб,34 кКал,"3,7 г","1,7 г","1,1 г"
Белый гриб сушеный,286 кКал,"30,3 г","14,3 г",9 г
"Белый гриб, быстро обжаренный (стир-фрай)",26 кКал,"3,58 г","0,33 г","2,24 г"
"Белый гриб, вареный, без соли",28 кКал,"2,17 г","0,47 г","3,09 г"
"Белый гриб, вареный, с солью",28 кКал,"2,17 г","0,47 г","3,09 г"
"Белый гриб, выращенный под ультрафиолетом",22 кКал,"3,09 г","0,34 г","2,26 г"
"Белый гриб, приготовленный в микроволновке",35 кКал,"3,91 г","0,46 г","3,54 г"
"Белый гриб, сырой",22 кКал,"3,09 г","0,34 г","2,26 г"
Вешенки,33 кКал,"3,31 г","0,41 г","3,79 г"
Грибы жареные (сушеные) по 1-268,270 кКал,"11,3 г","24,4 г","1,2 г"
Грибы жареные в сметанном соусе по 1-242,172 кКал,"6,7 г","14,5 г","3,5 г"
Грибы жареные с картофелем по 1-242,114 кКал,"3,9 г","5,2 г","12,7 г"
"Грибы, запеченные в сметанном соусе по 1-260",188 кКал,"6,5 г","16,6 г","3,2 г"
"Грибы, консервированные, содержимое без жидкости",25 кКал,"1,87 г","0,29 г","2,69 г"
"Грибы, тушенные с картофелем по 1-228",117 кКал,4 г,"6,4 г","10,7 г"
Груздь,16 кКал,"1,8 г","0,8 г","0,5 г"
Лисички,32 кКал,"1,49 г","0,53 г","3,06 г"
Лисички,19 кКал,"1,5 г","1,1 г",1 г
Маслята,9 кКал,"2,4 г","0,7 г","0,5 г"
Опенок,22 кКал,"2,2 г","1,2 г","0,5 г"
Подберезовик,20 кКал,"2,3 г","0,9 г","1,2 г"
Подберезовик сушеный,231 кКал,"23,5 г","9,2 г","14,3 г"
Подосиновик,22 кКал,"3,3 г","0,5 г","1,2 г"
Подосиновик сушеный,299 кКал,"35,4 г","5,4 г","12,9 г"
"Портобелло, грибы",22 кКал,"2,11 г","0,35 г","2,57 г"
"Портобелло, грибы приготовленные на гриле",29 кКал,"3,28 г","0,58 г","2,24 г"
"Портобелло, грибы, выращенные под ультрафиолетом",22 кКал,"2,11 г","0,35 г","2,57 г"
"Портобелло, грибы, выращенные под ультрафиолетом, приготовленные на гриле",29 кКал,"3,28 г","0,58 г","2,24 г"
Рыжик,22 кКал,"1,9 г","0,8 г","0,5 г"
"Сморчок, гриб",31 кКал,"3,12 г","0,57 г","2,3 г"
"Сморчок, гриб",22 кКал,"2,9 г","0,4 г","0,2 г"
"Соломенные грибы, консервированные, содержимое без жидкости",32 кКал,"3,83 г","0,68 г","2,14 г"
Сыроежки,19 кКал,"1,7 г","0,7 г","1,5 г"
Чернушка,0 кКал,0 г,0 г,0 г
Шампиньоны,27 кКал,"4,3 г",1 г,"0,1 г"
"Шампиньоны, выращенные под ультрафиолетом",22 кКал,"2,5 г","0,1 г","3,7 г"
"Шампиньоны, сырые",22 кКал,"2,5 г","0,1 г","3,7 г"
"Шиитаке, грибы",34 кКал,"2,24 г","0,49 г","4,29 г"
"Шиитаке, грибы быстро обжаренные (стир-фрай)",39 кКал,"3,45 г","0,35 г","4,08 г"
"Шиитаке, грибы приготовленные, без соли",56 кКал,"1,56 г","0,22 г","12,29 г"
"Шиитаке, грибы приготовленные, с солью",56 кКал,"1,56 г","0,22 г","12,29 г"
"Шиитаке, грибы сушеные",296 кКал,"9,58 г","0,99 г","63,87 г"
"Эноки (опёнок зимний, энокитаки), грибы",37 кКал,"2,66 г","0,29 г","5,11 г"
