Продукт,Калорийность,Белки,Жиры,Углеводы
Азу из Мяса Индейки [Черкизово],220 кКал,10 г,20 г,0 г
Ассорти Сырокопченых Колбас [Черкизово],513 кКал,22 г,45 г,5 г
Балык из Куриных Грудок [Черкизово],115 кКал,18 г,3 г,4 г
Бастурма из Индейки [Черкизово],220 кКал,46 г,"3,5 г",1 г
Бекон по-Английски Охлажденный [Черкизово],353 кКал,14 г,33 г,0 г
Бекон по-Английски Свиной [Черкизово],353 кКал,14 г,35 г,0 г
Бекон Столичный Сырокопчёный [Черкизово],378 кКал,"13,5 г",36 г,0 г
Бекон Сырокопченый [Черкизово],252 кКал,15 г,20 г,3 г
Бекон Фермерский [Черкизово],384 кКал,12 г,36 г,3 г
Брауншвейгская Колбаса Сырокопченая [Черкизово],445 кКал,24 г,37 г,4 г
Буженина [Черкизово],252 кКал,16 г,20 г,2 г
Буженина по-Русски [Черкизово],145 кКал,14 г,9 г,2 г
Ветчина из Индейки [Черкизово],100 кКал,16 г,2 г,5 г
Ветчина Миланская [Черкизово],120 кКал,"21,5 г",3 г,2 г
Ветчина по-Черкизовски [Черкизово],236 кКал,11 г,20 г,3 г
Ветчина с Индейкой [Черкизово],83 кКал,9 г,3 г,5 г
Ветчина со Свиным Окороком [Черкизово],92 кКал,9 г,4 г,5 г
Ветчина Тост Хэм [Черкизово],127 кКал,11 г,7 г,5 г
Ветчина Швейцарская [Черкизово],110 кКал,18 г,3 г,3 г
Вырезка Свиная [Черкизово],135 кКал,18 г,7 г,0 г
Говядина Черкизовская [Черкизово],118 кКал,16 г,6 г,0 г
Грудинка [Черкизово],228 кКал,12 г,20 г,0 г
"Грудинка в Маринаде ""по-Домашнему"" [Черкизово]",350 кКал,16 г,"30,5 г",2 г
Грудинка по-Черкизовски [Черкизово],228 кКал,12 г,20 г,0 г
Грудинка Столичная [Черкизово],280 кКал,15 г,24 г,1 г
Грудинка Фермерская [Черкизово],248 кКал,15 г,20 г,2 г
Докторская Оригинальная [Черкизово],172 кКал,10 г,12 г,6 г
Докторская по-Черкизовски [Черкизово],240 кКал,12 г,20 г,3 г
Карбонад Берлинский [Черкизово],140 кКал,19 г,"6,5 г",2 г
Карбонад в Маринаде [Черкизово],240 кКал,14 г,20 г,2 г
Карбонад Кремлевский [Черкизово],96 кКал,15 г,4 г,0 г
Карбонад Свиной [Черкизово],217 кКал,16 г,17 г,0 г
Карбонад Фермерский [Черкизово],121 кКал,15 г,5 г,4 г
Карпаччо из Индейки [Черкизово],169 кКал,35 г,3 г,"0,5 г"
Карпаччо из Курицы [Черкизово],170 кКал,38 г,2 г,0 г
Колбаса Балыковая [Черкизово],250 кКал,17 г,20 г,"0,5 г"
Колбаса Брауншвейгская [Черкизово],464 кКал,24 г,40 г,1 г
