Продукт,Калорийность,Белки,Жиры,Углеводы
Chocolate Молочный Шоколад с Карамелизованным Дробленным Фундуком [Яшкино],554 кКал,"6,2 г","35,6 г","52,3 г"
Elle [Яшкино],240 кКал,"2,7 г","9,5 г","35,7 г"
Impulse [Яшкино],447 кКал,"2,6 г","16,5 г",73 г
Pro Чипсы [Яшкино],510 кКал,6 г,31 г,51 г
Zебра [Яшкино],460 кКал,"5,4 г",26 г,52 г
Арахис в Какао [Яшкино],410 кКал,8 г,13 г,73 г
Арахис в Молочной Шоколадной Глазури [Яшкино],570 кКал,14 г,41 г,35 г
Батончик [Яшкино],485 кКал,"7,2 г","24,3 г","59,2 г"
Батончик Зебра [Яшкино],460 кКал,"5,4 г",26 г,52 г
Белый Шоколад [Яшкино],575 кКал,7 г,37 г,54 г
Белый Шоколад Карамельный [Яшкино],550 кКал,8 г,33 г,56 г
Бельгийский Молочный Шоколад [Яшкино],530 кКал,5 г,29 г,60 г
Бельгийский Молочный Шоколад с Бисквитными Шариками [Яшкино],510 кКал,"5,5 г",27 г,61 г
Бельгийский Молочный Шоколад с Черносливом и Кукурузными Хлопьями [Яшкино],490 кКал,5 г,25 г,60 г
Бельгийский Темный Шоколад 55% Какао [Яшкино],525 кКал,"5,5 г",35 г,47 г
Бисквитное Печенье [Яшкино],295 кКал,"3,5 г",4 г,61 г
Бисквитное Печенье Апельсин [Яшкино],360 кКал,"3,5 г","6,5 г",72 г
Бретцель с Солью [Яшкино],410 кКал,"9,5 г",11 г,69 г
"Вафельная Конфета ""Дивная Даренка"" Глазированная [Яшкино]",560 кКал,"5,1 г",32 г,62 г
Вафельная Конфета [Яшкино],520 кКал,5 г,32 г,62 г
Вафельная Конфета Импульс [Яшкино],490 кКал,4 г,25 г,62 г
Вафельное Драже [Яшкино],529 кКал,"7,5 г","32,3 г","54,3 г"
Вафельные Кубики в Молочной Глазури [Яшкино],550 кКал,"4,2 г",32 г,56 г
Вафельные Рулетики со Вкусом Сгущённого Молока [Яшкино],500 кКал,5 г,24 г,66 г
Вафельные Рулетики со Сгущенкой [Яшкино],510 кКал,5 г,"25,2 г","66,2 г"
Вафельные Трубочки [Яшкино],482 кКал,7 г,"23,7 г","71,7 г"
Вафельные Трубочки Лесной Орех [Яшкино],500 кКал,8 г,23 г,64 г
Вафельные Трубочки Ореховые [Яшкино],520 кКал,6 г,24 г,69 г
Вафельные Трубочки со Вкусом Сгущенного Молока [Яшкино],500 кКал,7 г,22 г,68 г
Вафельный Сэндвич [Яшкино],500 кКал,"5,5 г",27 г,58 г
"Вафли ""Яшкинская Белочка"" [Яшкино]",470 кКал,6 г,25 г,56 г
Вафли Impulse [Яшкино],460 кКал,"3,6 г",25 г,55 г
Вафли Белочка [Яшкино],510 кКал,7 г,28 г,60 г
Вафли в Шоколаде [Яшкино],530 кКал,5 г,31 г,57 г
Вафли Вафельный Сэндвич [Яшкино],480 кКал,"5,5 г",26 г,55 г
Вафли Глазированные [Яшкино],490 кКал,5 г,29 г,53 г
Вафли Глазированные в Карамели [Яшкино],450 кКал,6 г,24 г,54 г
Вафли Глазированные с Орешками [Яшкино],500 кКал,"5,5 г",30 г,51 г
Вафли Голландские [Яшкино],430 кКал,"5,5 г",15 г,67 г
Вафли Голландские с Карамельной Начинкой [Яшкино],430 кКал,"5,5 г",15 г,67 г
Вафли Голландские с Карамелью [Яшкино],449 кКал,6 г,"15,5 г","61,6 г"
Вафли Голландские с Начинкой из Вареной Сгущенки [Яшкино],430 кКал,6 г,16 г,66 г
Вафли Голландские со Сгущенкой [Яшкино],437 кКал,"6,7 г","16,4 г","65,3 г"
Вафли Зебра [Яшкино],520 кКал,5 г,27 г,63 г
Вафли Капуччино [Яшкино],515 кКал,"4,9 г","27,6 г","60,1 г"
Вафли Месье Шоколатье [Яшкино],510 кКал,"5,5 г",28 г,58 г
Вафли Ореховые [Яшкино],480 кКал,6 г,25 г,57 г
Вафли с Варёной Сгущёнкой [Яшкино],480 кКал,5 г,24 г,60 г
Вафли с Карамельной Начинкой [Яшкино],430 кКал,6 г,"15,2 г","67,9 г"
Вафли с Карамелью Глазированные [Яшкино],450 кКал,"4,5 г",24 г,56 г
Вафли с Мягкой Карамелью [Яшкино],460 кКал,"3,6 г",25 г,55 г
Вафли с Мягкой Карамелью Глазированные Шоколадом [Яшкино],450 кКал,6 г,24 г,54 г
"Вафли с Мягкой Карамелью, Арахисом и Изюмом [Яшкино]",460 кКал,"6,5 г",26 г,49 г
Вафли с Пористым Шоколадом [Яшкино],555 кКал,"5,4 г","31,8 г","61,7 г"
Вафли с Халвой [Яшкино],500 кКал,"7,5 г",26 г,60 г
Вафли со Вкусом Лимона [Яшкино],550 кКал,5 г,31 г,63 г
Вафли со Сгущенкой [Яшкино],510 кКал,5 г,26 г,63 г
Вафли со Сливочным Вкусом [Яшкино],480 кКал,"4,5 г",26 г,58 г
Вафли Топ-Топ [Яшкино],510 кКал,"6,5 г",27 г,61 г
Вафли Хрустящие Шоколадные [Яшкино],540 кКал,6 г,29 г,63 г
Вафли Шоколадные [Яшкино],480 кКал,"5,5 г",26 г,55 г
Вафли Шоколайт [Яшкино],510 кКал,"5,5 г",27 г,60 г
Вафли Южная Страна [Яшкино],510 кКал,"5,5 г",28 г,61 г
Венские Мягкие Вафли с Вишневым Джемом [Яшкино],390 кКал,"4,7 г",15 г,60 г
Венские Мягкие Вафли с Кремом Вареная Сгущенка [Яшкино],400 кКал,"5,9 г",20 г,50 г
Версаль [Яшкино],410 кКал,"1,5 г",11 г,77 г
Галета [Яшкино],370 кКал,10 г,"5,5 г",69 г
Глазированные Хрустящие Вафли [Яшкино],540 кКал,"5,5 г",33 г,60 г
Глазированные Хрустящие Вафли с Орешками [Яшкино],530 кКал,6 г,32 г,55 г
Глазированный Вафельный Торт [Яшкино],530 кКал,"6,3 г",32 г,55 г
Глазированный Вафельный Торт Ореховый [Яшкино],540 кКал,6 г,32 г,56 г
Горький Шоколад с Кусочками Какао-Бобов [Яшкино],560 кКал,8 г,48 г,25 г
Грановская Кунжутка [Яшкино],547 кКал,11 г,34 г,"49,2 г"
Дивная Даренка [Яшкино],530 кКал,"4,5 г",32 г,57 г
Драже Арахис в Молочной Шоколадной Глазури [Яшкино],490 кКал,11 г,27 г,53 г
"Жевательные Конфеты ""Нота Бум"" [Яшкино]",420 кКал,"5,3 г","13,1 г",82 г
Жевательный Мармелад [Яшкино],310 кКал,2 г,0 г,76 г
Зебра [Яшкино],490 кКал,"7,5 г",27 г,54 г
Зебра Мини [Яшкино],430 кКал,6 г,23 г,52 г
Зефир в Кондитерской Глазури [Яшкино],380 кКал,2 г,10 г,71 г
Зефир в Шоколаде [Яшкино],390 кКал,"1,5 г","9,5 г",74 г
Зефир Ванильный [Яшкино],330 кКал,1 г,0 г,76 г
Зефир Ванильный Belucci [Яшкино],320 кКал,1 г,0 г,79 г
Зефир с Малиной [Яшкино],320 кКал,1 г,0 г,79 г
Золотая Рыбка Крекер [Яшкино],430 кКал,"8,5 г",13 г,69 г
Изюм в Сахарной Глазури [Яшкино],330 кКал,"0,5 г","0,1 г",88 г
Импульс [Яшкино],485 кКал,"7,2 г","24,3 г","59,2 г"
Ирис Нота Бум [Яшкино],411 кКал,"3,8 г","8,7 г","81,9 г"
Ирис с Арахисом [Яшкино],460 кКал,8 г,18 г,66 г
Ирис с Шоколадным Вкусом [Яшкино],400 кКал,3 г,"8,5 г",79 г
Ирис Сливочный [Яшкино],420 кКал,"2,1 г","8,5 г",84 г
Ирис Тираженный с Арахисом [Яшкино],460 кКал,8 г,18 г,66 г
Итальянский Кекс [Яшкино],380 кКал,"5,5 г",18 г,49 г
Итальянский Кекс с Вишневым Джемом и Шоколадным Кремом [Яшкино],390 кКал,"5,5 г",19 г,50 г
Итальянский Круассан с Шоколадным Кремом [Яшкино],420 кКал,"6,5 г",21 г,50 г
Итальянский Круассан со Сливочным Кремом [Яшкино],180 кКал,3 г,9 г,22 г
Карамель в Глазури Дворянка [Яшкино],400 кКал,"3,5 г",5 г,86 г
Карамельный Шоколад [Яшкино],570 кКал,9 г,36 г,53 г
Классический Крекер [Яшкино],480 кКал,9 г,19 г,65 г
Конфета Белуччи [Яшкино],440 кКал,"1,5 г",21 г,60 г
Конфета Итальяна [Яшкино],413 кКал,"2,9 г","12,6 г","73,3 г"
Конфета Крокант с Миндалем [Яшкино],396 кКал,"5,6 г","38,1 г","48,9 г"
Конфета Мексикана [Яшкино],510 кКал,"4,4 г","29,9 г","55,8 г"
Конфета Ярче [Яшкино],533 кКал,"6,7 г","30,3 г","58,5 г"
Конфета Яшкинская Картошка [Яшкино],533 кКал,"7,8 г","12,5 г","53,7 г"
"Конфеты ""Загорская Сливочная"" [Яшкино]",320 кКал,2 г,"3,5 г",68 г
"Конфеты ""Чио Рио"" [Яшкино]",315 кКал,2 г,"19,2 г","33,6 г"
Конфеты Belucci [Яшкино],430 кКал,"1,5 г",20 г,61 г
Конфеты Elle с Шоколадно-Ореховой Начинкой [Яшкино],530 кКал,"4,5 г",28 г,65 г
Конфеты Glaze [Яшкино],383 кКал,"2,2 г","7,7 г",76 г
Конфеты Белая Черемуха [Яшкино],380 кКал,"2,5 г","14,2 г","63,8 г"
Конфеты Бон Тайм [Яшкино],438 кКал,"2,4 г","15,4 г","38,6 г"
Конфеты Версаль [Яшкино],410 кКал,"2,5 г",11 г,77 г
Конфеты Глэйс [Яшкино],410 кКал,2 г,12 г,73 г
Конфеты Желейные Эки-Боки [Яшкино],310 кКал,2 г,0 г,76 г
Конфеты Крокант [Яшкино],396 кКал,"5,6 г","38,1 г","48,9 г"
Конфеты Нильс [Яшкино],392 кКал,0 г,"0,1 г","96,2 г"
Конфеты Фэнси [Яшкино],320 кКал,"0,9 г","7,4 г","71,3 г"
Конфеты Ярче [Яшкино],478 кКал,"10,3 г","24,4 г",53 г
Конфеты Яшкинская Картошка [Яшкино],486 кКал,"5,4 г","29,6 г","49,7 г"
"Крекер ""Золотая Рыбка"" [Яшкино]",440 кКал,9 г,14 г,71 г
Крекер Визит Нежности [Яшкино],460 кКал,8 г,20 г,62 г
Крекер Поляна Сказок [Яшкино],470 кКал,"7,5 г",21 г,62 г
Крекер с Кунжутом [Яшкино],510 кКал,"8,5 г",24 г,66 г
Крекер с Солью [Яшкино],450 кКал,9 г,15 г,67 г
Крекер с Сыром [Яшкино],480 кКал,9 г,21 г,62 г
Крекер с Томатом и Базиликом [Яшкино],460 кКал,9 г,18 г,63 г
Крекер со Злаками [Яшкино],440 кКал,"9,5 г",19 г,61 г
Крекер Французский [Яшкино],490 кКал,8 г,23 г,62 г
Крекер Французский с Кунжутом [Яшкино],510 кКал,"8,5 г",24 г,66 г
Крендельки Бретцель с Солью [Яшкино],410 кКал,"9,5 г",11 г,69 г
Крендельки с Солью [Яшкино],410 кКал,"9,5 г",11 г,69 г
Крокант [Яшкино],560 кКал,"6,5 г","37,7 г","49,7 г"
Крокант с Миндалем [Яшкино],556 кКал,"6,6 г","37,1 г","49,7 г"
Круасан [Яшкино],180 кКал,3 г,9 г,22 г
Круассан с Вареной Сгущенкой [Яшкино],410 кКал,6 г,20 г,49 г
Круассан с Вишнёвым Джемом [Яшкино],400 кКал,5 г,17 г,54 г
Круассан с Шоколадным Кремом [Яшкино],440 кКал,7 г,22 г,53 г
Круассан со Сливочным Кремом [Яшкино],410 кКал,6 г,20 г,50 г
Леденцы с Соком [Яшкино],362 кКал,0 г,0 г,96 г
Мармелад Сердечки [Яшкино],290 кКал,"0,5 г",0 г,71 г
Мармелад Фруктовый Микс [Яшкино],310 кКал,2 г,0 г,76 г
Мармелад Эки-Боки [Яшкино],310 кКал,2 г,0 г,76 г
Мини Батончик Зебра-Мини [Яшкино],470 кКал,"6,5 г",24 г,58 г
Мини Круассаны [Яшкино],428 кКал,"5,2 г","20,4 г","52,4 г"
Мини Круассаны с Вареной Сгущенкой [Яшкино],430 кКал,"6,5 г",22 г,51 г
Мини Круассаны с Клубничным Джемом [Яшкино],410 кКал,"5,5 г",17 г,59 г
Мини Круассаны с Шоколадным Кремом [Яшкино],430 кКал,7 г,22 г,53 г
Мини Круассаны с Шоколадом [Яшкино],440 кКал,7 г,22 г,53 г
Мини Круассаны со Сливочным Кремом [Яшкино],430 кКал,"6,5 г",21 г,54 г
Мини-Рулет [Яшкино],126 кКал,"1,8 г","4,6 г","19,6 г"
Мини-Рулет Клубничный [Яшкино],390 кКал,5 г,15 г,59 г
Мини-Рулет с Варёной Сгущёнкой [Яшкино],370 кКал,5 г,14 г,57 г
Мини-Рулет с Варёной Сгущёнкой [Яшкино],370 кКал,5 г,14 г,57 г
Молочный Шоколад [Яшкино],530 кКал,5 г,30 г,59 г
Молочный Шоколад Клубника и Йогурт [Яшкино],570 кКал,5 г,38 г,51 г
Молочный Шоколад Кокосовый Мусс [Яшкино],570 кКал,"4,5 г",36 г,56 г
Молочный Шоколад Ореховый Мусс [Яшкино],570 кКал,4 г,38 г,53 г
Молочный Шоколад с Ананасом [Яшкино],505 кКал,"4,5 г",26 г,63 г
Молочный Шоколад с Арахисом [Яшкино],560 кКал,11 г,37 г,45 г
Молочный Шоколад с Бисквитными Шариками [Яшкино],510 кКал,"5,5 г",27 г,61 г
Молочный Шоколад с Грушей [Яшкино],380 кКал,"2,5 г",15 г,58 г
Молочный Шоколад с Дробленым Фундуком [Яшкино],545 кКал,"6,5 г",33 г,55 г
Молочный Шоколад с Дробленым Фундуком и Изюмом [Яшкино],525 кКал,6 г,31 г,55 г
Молочный Шоколад с Изюмом и Арахисом [Яшкино],520 кКал,"8,5 г",30 г,54 г
Молочный Шоколад с Карамелизированным Дробленым Фундуком [Яшкино],554 кКал,"6,2 г","35,6 г","52,3 г"
Молочный Шоколад с Карамельной Начинкой [Яшкино],560 кКал,"5,5 г",34 г,57 г
