Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Банан, без тапиоки, пюре",91 кКал,1 г,"0,2 г","19,74 г"
"Детское питание, Горошек и коричневый рис",64 кКал,"3,4 г","0,5 г","8,99 г"
"Детское питание, Груши, кубики, для детей, начинающих ходить",57 кКал,"0,3 г","0,1 г","12,4 г"
"Детское питание, Десерт, банан с яблоком, пюре",68 кКал,"0,3 г","0,2 г","15,3 г"
"Детское питание, Десерт, банановый йогурт, пюре",78 кКал,"1,1 г","0,52 г","16,85 г"
"Детское питание, Десерт, банановый пудинг, пюре",68 кКал,1 г,"0,8 г","13,34 г"
"Детское питание, Десерт, вишневый пудинг, с ванилью, пюре",68 кКал,"0,2 г","0,3 г","17,5 г"
"Детское питание, Десерт, голландские яблоки, пюре",75 кКал,"0,2 г","0,4 г","18,34 г"
"Детское питание, Десерт, заварной крем, ванильный, пюре",85 кКал,"1,6 г",2 г,16 г
"Детское питание, Десерт, персиковый йогурт",77 кКал,"0,9 г","0,18 г","17,2 г"
"Детское питание, Десерт, персиковый коблер (фруктовый пирог с толстой верхней коркой), пюре",65 кКал,"0,3 г",0 г,"17,1 г"
"Детское питание, Десерт, фруктовый пудинг, ананас, пюре",81 кКал,"1,3 г","0,3 г","19,6 г"
"Детское питание, Десерт, фруктовый пудинг, апельсиновый, пюре",80 кКал,"1,1 г","0,9 г","17,1 г"
"Детское питание, Десерт, фруктовый, без доб. аскорбиновой кислоты, пюре",59 кКал,"0,3 г",0 г,"15,4 г"
"Детское питание, Десерт, черничный йогурт, пюре",77 кКал,"0,5 г","0,7 г","16,65 г"
"Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. DHA-Докозагексаеновая кислота",98 кКал,"3,4 г","3,53 г","12,92 г"
"Детское питание, Йогурт, цельное молоко, с фруктами, со злаками, с доб. железа",92 кКал,"3,05 г","3,08 г","12,4 г"
"Детское питание, Картофельное пюре, чеддер и брокколи, для детей, начинающих ходить",48 кКал,"1,11 г","1,47 г","6,27 г"
"Детское питание, Картошка, для детей, начинающих ходить",52 кКал,1 г,"0,1 г","10,83 г"
"Детское питание, Каша, коричневый рис, сухая, быстрого приготовления",406 кКал,"8,7 г",3 г,"79,48 г"
"Детское питание, Каша, овсяная, приготовленная на цельном молоке",116 кКал,5 г,"4,1 г","14,2 г"
"Детское питание, Каша, овсяная, с бананом, приготовленная на цельном молоке",86 кКал,"3,82 г","3,46 г","9,6 г"
"Детское питание, Каша, овсяная, с бананом, сухая",399 кКал,"6,67 г","6,67 г","72,87 г"
"Детское питание, Каша, овсяная, с медом, приготовленная на цельном молоке",115 кКал,5 г,"3,9 г","15,3 г"
"Детское питание, Каша, овсяная, с медом, сухая",391 кКал,"13,5 г",7 г,"69,3 г"
"Детское питание, Каша, овсяная, сухая",394 кКал,"10,99 г","6,36 г","66,18 г"
"Детское питание, Каша, овсянка, яблочное пюре с бананами, пюре",75 кКал,"0,89 г","0,89 г","14,72 г"
"Детское питание, Каша, рис, яблочное пюре с бананами, пюре",80 кКал,"1,2 г","0,4 г","16,1 г"
"Детское питание, Каша, рисовая, приготовленная на цельном молоке",85 кКал,"3,45 г","3,38 г","10,31 г"
"Детское питание, Каша, рисовая, с бананом, приготовленная на цельном молоке",86 кКал,"3,57 г","3,32 г","10,39 г"
"Детское питание, Каша, рисовая, с бананом, сухая",404 кКал,"8,7 г","4,2 г","78,9 г"
"Детское питание, Каша, рисовая, с медом, приготовленная на цельном молоке",115 кКал,"3,9 г","3,3 г","17,1 г"
"Детское питание, Каша, рисовая, сухая",390 кКал,"6,65 г","2,19 г","81,84 г"
"Детское питание, Каша, с высоким содерж. белка, приготовленная на цельном молоке",111 кКал,"8,7 г","3,8 г","11,6 г"
"Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, приготовленная на цельном молоке",112 кКал,"6,9 г","3,9 г","13,4 г"
"Детское питание, Каша, с высоким содерж. белка, с яблоком и апельсином, сухая",374 кКал,"25,4 г","6,5 г","50,5 г"
"Детское питание, Каша, с яичными желтками, пюре",51 кКал,"1,9 г","1,8 г","6,1 г"
"Детское питание, Каша, с яйцами, пюре",58 кКал,"2,2 г","1,5 г",8 г
"Детское питание, Каша, смесь, приготовленная на цельном молоке",96 кКал,"4,14 г","3,38 г","11,5 г"
"Детское питание, Каша, смесь, с бананом, приготовленная на цельном молоке",86 кКал,"3,82 г","3,46 г","9,6 г"
"Детское питание, Каша, смесь, с бананом, сухая",391 кКал,"10,7 г","4,6 г","69,3 г"
"Детское питание, Каша, смесь, с медом, приготовленная на цельном молоке",115 кКал,5 г,"3,6 г","15,9 г"
"Детское питание, Каша, смесь, сухая",399 кКал,"6,66 г","6,66 г","71,51 г"
"Детское питание, Каша, цельная пшеница, с яблоками, сухая",402 кКал,"6,6 г","4,8 г","76,5 г"
