Продукт,Калорийность,Белки,Жиры,Углеводы
Арахисовое масло (жидкое) для заправки салатов или готовки,884 кКал,0 г,100 г,0 г
Арахисовое масло жидкое,899 кКал,0 г,"99,9 г",0 г
Горчичное масло,898 кКал,0 г,"99,8 г",0 г
Горчичное масло,884 кКал,0 г,100 г,0 г
Жир бараний топленый,897 кКал,0 г,"99,7 г",0 г
Жир говяжий,902 кКал,0 г,100 г,0 г
Жир говяжий топленый,896 кКал,0 г,"99,6 г",0 г
Жир гусиный,900 кКал,0 г,"99,8 г",0 г
Жир индейки,900 кКал,0 г,"99,8 г",0 г
"Жир кондитерский (шортенинг) для изготовления тортов и глазури, на основе гидрогенизированного соевого масла",884 кКал,0 г,100 г,0 г
"Жир кондитерский (шортенинг), на основе гидрогенизированного кокосового и/или гидрогенизированного пальмоядрового масла",884 кКал,0 г,100 г,0 г
"Жир кондитерский (шортенинг), на основе фракционированного пальмового масла",884 кКал,0 г,100 г,0 г
"Жир кондитерский 71% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел",628 кКал,0 г,71 г,0 г
"Жир кондитерский 80% для выпечки, изготовления соусов и конфет, на основе частично гидрогенизированного соевого масла",714 кКал,"0,18 г",80 г,"0,71 г"
"Жир кондитерский 80% для изделий из слоёного теста, на основе хлопкового и частично гидрогенизированного соевого масел",714 кКал,"1,9 г","80,2 г",0 г
Жир костный топленый,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный,897 кКал,0 г,100 г,0 г
"Жир кулинарный ""Прима""",897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Белорусский»,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Восточный»,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Новинка»,897 кКал,0 г,"99,7 г",0 г
Жир кулинарный «Украинский»,897 кКал,0 г,"99,7 г",0 г
"Жир кулинарный (шортенинг) для выпечки и кондитерских изделий, на основе частично гидрогенизированного соевого масла",884 кКал,0 г,100 г,0 г
