Продукт,Калорийность,Белки,Жиры,Углеводы
"Агар (*в т. ч. НПВ-75,6)",12 кКал,2 г,0 г,"0,8 г"
Агар пищевой,16 кКал,4 г,0 г,0 г
Батончики на кондитерском жире,527 кКал,"3,3 г","30,5 г","62,5 г"
Вафли с жировыми начинками,542 кКал,"3,9 г","30,6 г","62,5 г"
Вафли с фруктово-ягодными начинками,354 кКал,"2,8 г","3,3 г","77,3 г"
Галеты,393 кКал,"9,7 г","10,2 г","65,6 г"
"Галеты, из муки высшего сорта",415 кКал,"9,7 г","10,2 г","68,4 г"
"Галеты, из муки первого сорта",345 кКал,11 г,"1,4 г","69,5 г"
Глазурь жировая,547 кКал,"3,9 г","37,2 г","48,9 г"
Глазурь шоколадная,542 кКал,"4,9 г","34,5 г","52,5 г"
"Десерт, хрустящие яблоки, приготовленные по рецепту",161 кКал,"1,75 г","3,43 г","29,44 г"
"Десерт, шоколадный мусс, приготовленный по рецепту",225 кКал,"4,14 г",16 г,"15,47 г"
Драже сахарное,393 кКал,0 г,0 г,"97,7 г"
"Драже, ореховое","547,5 кКал","11,9 г","38,3 г","41,4 г"
"Драже, фруктово-ягодное в шоколаде",389 кКал,"3,7 г","10,2 г","73,1 г"
"Жвачка, 360 ккал",360 кКал,0 г,"0,3 г","94,3 г"
"Жвачка, без сахара, 268 ккал",268 кКал,0 г,"0,4 г","92,4 г"
Желатин пищевой,355 кКал,"87,2 г","0,4 г","0,7 г"
"Желатин, сухой порошок, неподслащенный",335 кКал,"85,6 г","0,1 г",0 г
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951)",198 кКал,"15,67 г",0 г,"80,11 г"
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), без доб. натрия",345 кКал,"55,3 г",0 г,"33,3 г"
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), приготовленный на воде",20 кКал,"0,83 г",0 г,"4,22 г"
"Желе, десерт, сухая смесь, малокалорийный, с добавками: аспаратам (E951), фосфор, калий, натрий, витамин C",345 кКал,"55,3 г",0 г,"33,3 г"
"Желе, десерт, сухая смесь, приготовленный на воде",60 кКал,"1,22 г",0 г,"14,19 г"
"Желе, десерт, сухая смесь, с доб. аскорбиновой кислоты, цитрата натрия, и соли",381 кКал,"7,8 г",0 г,"90,5 г"
"Желе, сухая смесь",381 кКал,"7,8 г",0 г,"90,5 г"
Жир кондитерский для шоколадных изделий,897 кКал,0 г,"99,7 г",0 г
Жир кондитерский твердый,898 кКал,0 г,"99,8 г",0 г
Заварные трубочки с кремом,329 кКал,"5,9 г","10,2 г","55,2 г"
"Замороженный йогурт, шоколадный",131 кКал,3 г,"3,6 г","19,3 г"
Зефир,326 кКал,"0,8 г","0,1 г","79,8 г"
"Зефир, глазированный шоколадом",396 кКал,"2,2 г","12,3 г","68,4 г"
Ирис полутвердый,408 кКал,"3,3 г","7,6 г","81,5 г"
Ирис тираженный,443 кКал,"6,6 г","15,9 г","68,2 г"
Какао-порошок,289 кКал,"24,3 г",15 г,"10,2 г"
"Какао-порошок, неподслащенный",228 кКал,"19,6 г","13,7 г","20,9 г"
"Какао-порошок, неподслащенный, HERSHEY'S European Style Cocoa",410 кКал,20 г,10 г,40 г
"Какао-порошок, неподслащенный, прошедший алкализацию",220 кКал,"18,1 г","13,1 г","28,5 г"
"Какао-порошок, с высоким содерж. жира, или для завтрака, прошедший алкализацию",479 кКал,"16,8 г","23,71 г","15,81 г"
Какаовелла,147 кКал,15 г,"4,5 г",11 г
Карамель глазированная,378 кКал,1 г,"0,8 г","92,9 г"
"Карамель, леденцовая",384 кКал,0 г,0 г,"95,8 г"
"Карамель, с ликерными начинками",358 кКал,0 г,"0,1 г","92,6 г"
"Карамель, с молочными начинками",377 кКал,"0,8 г",1 г,"91,2 г"
"Карамель, с ореховыми начинками",410 кКал,"3,1 г","7,3 г","86,6 г"
"Карамель, с помадными начинками",366 кКал,0 г,"0,1 г","94,7 г"
"Карамель, с прохладительными начинками",429 кКал,0 г,10 г,88 г
"Карамель, с фруктово-ягодными начинками",371 кКал,"0,1 г","0,1 г","92,4 г"
"Карамель, с шоколадно-ореховыми начинками",427 кКал,"1,6 г",8 г,"87,1 г"
Конфеты глазированные шоколадом с желейными корпусами,359 кКал,"1,4 г","8,2 г","69,4 г"
"Конфеты глазированные шоколадом, ассорти с пралиновыми начинками",533 кКал,"6,9 г","30,8 г","56,9 г"
"Конфеты глазированные шоколадом, с грильяжными корпусами",489 кКал,"7,8 г",22 г,"64,9 г"
"Конфеты глазированные шоколадом, с комбинированными корпусами",414 кКал,"3,9 г","14,6 г","69,7 г"
"Конфеты глазированные шоколадом, с кремово-сбивными корпусами",463 кКал,"2,7 г","25,8 г","54,7 г"
"Конфеты глазированные шоколадом, с кремовыми корпусами",523 кКал,"7,5 г","31,8 г","53,6 г"
"Конфеты глазированные шоколадом, с начинками между слоями вафель",535 кКал,"5,8 г",32 г,"57,9 г"
"Конфеты глазированные шоколадом, с помадными корпусами",399 кКал,"1,5 г","7,2 г","81,8 г"
"Конфеты глазированные шоколадом, с пралине со слоями вафель",533 кКал,"6,6 г",31 г,"56,6 г"
"Конфеты глазированные шоколадом, с пралиновыми корпусами",533 кКал,"6,9 г","30,8 г","56,9 г"
"Конфеты глазированные шоколадом, с фруктовыми корпусами",369 кКал,"1,6 г","8,6 г","74,3 г"
"Конфеты глазированные шоколадом, с шоколадно-кремовыми корпусами",569 кКал,4 г,"39,5 г","51,3 г"
"Конфеты глазированные шоколадом, с шоколадно-ореховыми корпусами",547 кКал,"6,4 г","34,6 г","54,6 г"
"Конфеты глазированные шоколадом, со сбивными корпусами",413 кКал,3 г,"15,5 г",65 г
Конфеты неглазированные шоколадные,491 кКал,4 г,"26,3 г","59,2 г"
"Конфеты неглазированные, молочные",364 кКал,"2,7 г","4,3 г","82,3 г"
"Конфеты неглазированные, помадные",445 кКал,"3,7 г","16,2 г","70,9 г"
"Конфеты неглазированные, фруктово-помадные",346 кКал,0 г,0 г,"90,6 г"
"Конфеты,  ALMOND JOY BITES",563 кКал,"5,58 г","34,5 г","53,24 г"
"Конфеты, MASTERFOODS USA, MILKY WAY Карамель, в глазури из молочного шоколада",463 кКал,"4,28 г","19,17 г","67,79 г"
"Конфеты, батончик  5TH AVENUE (произв: Корпорация Hershey)",482 кКал,"8,78 г","23,98 г","59,58 г"
"Конфеты, батончик ALMOND JOY (произв: Hershey)",479 кКал,"4,13 г","26,93 г","54,51 г"
"Конфеты, батончик BUTTERFINGER (произв: Нестле), NESTLE",459 кКал,"5,4 г","18,9 г","70,9 г"
"Конфеты, батончик Сникерс, SNICKERS (произв: MASTERFOODS USA)",491 кКал,"7,53 г","23,85 г","59,21 г"
"Конфеты, баточник 3 MUSKETEERS (произв: Мастерфудз США)",436 кКал,"2,6 г","12,75 г","76,27 г"
"Конфеты, в шоколадной глазури, диетические или низкокалорийные",590 кКал,"12,39 г","43,27 г","34,18 г"
"Конфеты, ирис",391 кКал,"0,03 г","3,3 г","90,4 г"
"Конфеты, карамель",382 кКал,"4,6 г","8,1 г",77 г
"Конфеты, карамель с орехами в шоколадной глазури",470 кКал,"9,5 г",21 г,"56,37 г"
"Конфеты, Твикс, печенье с карамелью и шоколадом (произв: MASTERFOODS USA)",502 кКал,"4,91 г","24,85 г","63,7 г"
Крекеры с цельнозерновой пшеничной мукой,463 кКал,"7,29 г","17,84 г","63,47 г"
"Крекеры, из муки высшего сорта",439 кКал,"9,2 г","14,1 г","66,1 г"
Ксилит пищевой,367 кКал,0 г,0 г,"97,9 г"
"Кукурузный сироп, светлый",283 кКал,0 г,"0,2 г","76,79 г"
"Кукурузный сироп, темный",286 кКал,0 г,0 г,"77,59 г"
Лукум сбивной,316 кКал,"0,8 г","0,7 г","79,4 г"
Мармелад,321 кКал,"0,1 г",0 г,"79,4 г"
Мармелад желейный,321 кКал,"0,1 г",0 г,"79,4 г"
"Мармелад, фруктово-ягодный глазированный шоколадом",349 кКал,"1,5 г","9,2 г","64,2 г"
Мед пчелиный,328 кКал,"0,8 г",0 г,"80,3 г"
"Меласса, черная патока",290 кКал,0 г,"0,1 г","74,73 г"
"Мороженне, ванильное",207 кКал,"3,5 г",11 г,"22,9 г"
"Мороженое, ванильное, жирное, 16.2% жира",249 кКал,"3,5 г","16,2 г","22,29 г"
"Мороженое, ванильное, лайт, без доб. сахара, 7.45% жира",169 кКал,"3,97 г","7,45 г","21,42 г"
"Мороженое, ванильное, лайт, магкое морожено, 2.6 жир",126 кКал,"4,9 г","2,6 г","21,8 г"
"Мороженое, ванильное, легкое",180 кКал,"4,78 г","4,83 г","29,16 г"
"Мороженое, ванильное, обезжиренное, 0% жира",138 кКал,"4,48 г",0 г,"29,06 г"
"Мороженое, клубничное, 8.4% жира",192 кКал,"3,2 г","8,4 г","26,7 г"
"Мороженое, обычное, низкоуглеводное, ванильное, 12.7% жира",216 кКал,"3,17 г","12,7 г","17,43 г"
"Мороженое, обычное, низкоуглеводное, шоколадное, 12.7% жира",237 кКал,"3,8 г","12,7 г",22 г
"Мороженое, французское, ванильное, мягкое, 13% жира",222 кКал,"4,1 г",13 г,"21,5 г"
"Мороженое, шоколадное, 11% жира",216 кКал,"3,8 г",11 г,27 г
"Мороженое, шоколадное, жирное, 17% жира",251 кКал,"4,72 г","16,98 г","18,88 г"
"Мороженое, шоколадное, лайт, 7.19 жир",187 кКал,5 г,"7,19 г","24,9 г"
"Мороженое, шоколадное, лайт, без доб. сахара, 5.74% жира",173 кКал,"3,54 г","5,74 г","25,89 г"
Пастила,324 кКал,"0,5 г",0 г,80 г
"Пастила, глазированная шоколадом",402 кКал,"1,9 г",12 г,"70,9 г"
Патока кукурузная,316 кКал,0 г,"0,3 г","78,3 г"
"Пектин (*в т. ч. РПВ-69,9)",52 кКал,"3,5 г",0 г,"9,3 г"
"Пектин, жидкий",11 кКал,0 г,0 г,0 г
"Печенье овсяное, промышленного изготовления, обычное",450 кКал,"6,2 г","18,1 г","65,9 г"
Печенье сахарное из муки первого сорта,407 кКал,"7,4 г","9,4 г","73,1 г"
Печенье сдобное,451 кКал,"6,4 г","16,8 г","68,5 г"
"Печенье сливочное, промышленного изготовления, необогащенное",467 кКал,"6,1 г","18,8 г","68,1 г"
"Печенье сливочное, промышленного изготовления, обогащенное",467 кКал,"6,1 г","18,8 г","68,1 г"
"Печенье, ванильные вафли, с повышенным содерж. жира, 19,4%",455 кКал,"4,9 г","16,41 г",71 г
"Печенье, ванильные вафли, с пониженным содерж. жира, 15.2%",441 кКал,5 г,"15,2 г","71,7 г"
"Печенье, ванильный сэндвич с кремовой начинкой",483 кКал,"4,5 г",20 г,"70,6 г"
"Печенье, затяжное из муки высшего сорта",414 кКал,"8,5 г","11,3 г","69,7 г"
"Печенье, затяжное из муки первого сорта",396 кКал,"7,7 г","9,1 г","70,9 г"
"Печенье, овсяное, охлажденное тесто",424 кКал,"5,4 г","18,9 г","56,6 г"
"Печенье, овсяное, охлажденное тесто, испеченное",471 кКал,6 г,21 г,"62,9 г"
"Печенье, овсяное, с изюмом",441 кКал,"5,86 г","15,76 г","65,65 г"
"Печенье, овсяное, сухая смесь",462 кКал,"6,5 г","19,2 г","67,3 г"
"Печенье, с пониженным содержанием сахара",493 кКал,"8,3 г","23,6 г","61,2 г"
"Печенье, сахарное из муки высшего сорта",417 кКал,"7,5 г","9,8 г","74,4 г"
"Печенье, сахарное, охлажденное тесто, испеченное",489 кКал,"4,7 г","23,1 г","64,7 г"
"Печенье, сахарные вафли с кремовой начинкой, обычные",502 кКал,"3,84 г","23,24 г","69,04 г"
"Печенье, сдобное миндальное",422 кКал,"7,6 г","13,6 г","67,4 г"
"Печенье, шоколадное, приготовленное по рецепту",466 кКал,"6,2 г","29,1 г","50,2 г"
"Печенье, шоколадное, промышленного изготовления",405 кКал,"4,8 г","16,3 г","61,8 г"
"Печенье, шоколадное, сухая смесь, диетическая",426 кКал,"2,9 г","12,5 г","76,2 г"
"Печенье, шоколадное, сухая смесь, стандартная",434 кКал,4 г,"14,9 г","76,6 г"
"Печенье, шоколадные кусочки, промышленного изготовления, мягкое",444 кКал,"3,63 г","19,77 г","63,95 г"
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, необогащенное",481 кКал,"5,4 г","22,6 г","64,3 г"
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с повышенным содержанием жира, обогащенное",492 кКал,"5,1 г","24,72 г","63,36 г"
"Печенье, шоколадные кусочки, промышленного изготовления, станд., с пониженным содержанием жира",451 кКал,"5,97 г","17,91 г","64,49 г"
Пирожное бисквитное с белковым кремом,336 кКал,"4,4 г","7,3 г","63,1 г"
Пирожное вафельное молочное,572 кКал,"4,8 г","36,7 г","55,3 г"
Пирожное воздушное с кремом,440 кКал,"2,6 г","20,8 г","60,5 г"
Пирожное заварное с кремом (трубочка),433 кКал,"4,4 г","24,5 г","48,8 г"
Пирожное крошковое,388 кКал,"5,9 г","19,4 г","47,5 г"
Пирожное миндальное,433 кКал,"8,5 г","16,2 г","63,2 г"
Пирожное песочное с кремом,485 кКал,"5,1 г","28,2 г","52,1 г"
Пирожное песочное с фруктовой начинкой,435 кКал,"5,1 г","18,5 г","62,6 г"
Пирожное слоеное с белковым кремом,461 кКал,"6,1 г",26 г,"50,6 г"
"Пирожное, белково-сбивное",468 кКал,"2,8 г","24,3 г","62,6 г"
"Пирожное, бисквитное, с фруктовой начинкой",351 кКал,"4,7 г","9,3 г","64,2 г"
"Пирожное, слоеное с кремом",555 кКал,"5,4 г","38,6 г","46,4 г"
"Пирожное, слоеное с яблочной начинкой",466 кКал,"5,7 г","25,6 г","52,7 г"
Плитки кондитерские,537 кКал,"7,8 г","34,6 г","48,1 г"
Плитки кондитерские сладкие,552 кКал,"6,2 г","34,2 г","54,5 г"
Пралине с ржаной мукой,567 кКал,"4,7 г","37,7 г",52 г
"Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%)",535 кКал,"9,9 г","32,2 г","51,2 г"
Пряники заварные,366 кКал,"5,9 г","4,7 г",75 г
Пряники сырцовые,346 кКал,"6,3 г","2,1 г","75,6 г"
"Пудинг из тапиоки, приготовленный на цельном молоке",115 кКал,"2,84 г","2,89 г","19,43 г"
"Пудинг, банановый, быстрого приготовления, приготовленный на цельном молоке",115 кКал,"2,62 г","2,8 г","19,76 г"
"Пудинг, банановый, обычный, приготовленный на цельном молоке",111 кКал,"2,74 г","2,89 г","18,44 г"
"Пудинг, банановый, сухая смесь, быстрого приготовления",367 кКал,0 г,"0,6 г","92,7 г"
"Пудинг, банановый, сухая смесь, быстрого приготовления, с доб масла",386 кКал,0 г,"4,4 г",89 г
"Пудинг, банановый, сухая смесь, обычный",366 кКал,0 г,"0,4 г","92,7 г"
"Пудинг, банановый, сухая смесь, обычный, с доб масла",387 кКал,0 г,5 г,"88,1 г"
"Пудинг, ванильный, быстрого приготовления, приготовленный на цельном молоке",114 кКал,"2,7 г","2,9 г","19,7 г"
"Пудинг, ванильный, готовый к употреблению",130 кКал,"1,45 г","3,78 г","22,6 г"
"Пудинг, ванильный, готовый к употреблению, обезжиренный",89 кКал,"2,02 г",0 г,"20,16 г"
"Пудинг, ванильный, обычный, приготовленный на цельном молоке",113 кКал,"2,8 г","2,9 г","18,82 г"
"Пудинг, ванильный, сухая смесь, быстрого приготовления",377 кКал,0 г,"0,6 г","92,9 г"
"Пудинг, ванильный, сухая смесь, обычный",379 кКал,"0,3 г","0,4 г","92,9 г"
"Пудинг, ванильный, сухая смесь, обычный, с доб масла",369 кКал,"0,3 г","1,1 г","92,4 г"
"Пудинг, все вкусы, исключая шоколадный, низкокалорийный, быстрого приготовления, сухая смесь",350 кКал,"0,81 г","0,9 г","83,86 г"
"Пудинг, все вкусы, исключая шоколадный, низкокалорийный, обычный, сухая смесь",351 кКал,"1,6 г","0,1 г","85,14 г"
"Пудинг, из тапиоки, готовый к употреблению",130 кКал,"1,95 г","3,88 г","21,69 г"
"Пудинг, из тапиоки, готовый к употреблению, обезжиренный",94 кКал,"1,44 г","0,35 г","21,31 г"
"Пудинг, из тапиоки, сухая смесь",369 кКал,"0,1 г","0,1 г","94,1 г"
"Пудинг, из тапиоки, сухая смесь, без доб соли",369 кКал,"0,1 г","0,1 г","94,1 г"
"Пудинг, лимонный обычный, приготовленный с сахаром, яичным желтком и водой",109 кКал,"0,65 г","1,12 г","24,2 г"
"Пудинг, лимонный, сухая смесь, быстрого приготовления",378 кКал,0 г,"0,7 г","95,4 г"
"Пудинг, лимонный, сухая смесь, быстрого приготовления, приготовленный на цельном молоке",115 кКал,"2,7 г","2,9 г","20,1 г"
"Пудинг, лимонный, сухая смесь, обычный",363 кКал,"0,1 г","0,5 г","91,7 г"
"Пудинг, лимонный, сухая смесь, обычный, с доб масла, калия, натрия",366 кКал,"0,1 г","1,5 г","90,2 г"
"Пудинг, рисовый, готовый к употреблению",108 кКал,"3,23 г","2,15 г","18,09 г"
"Пудинг, рисовый, приготовленный на цельном молоке",121 кКал,"3,25 г","2,82 г","20,58 г"
"Пудинг, рисовый, сухая смесь",376 кКал,"2,7 г","0,1 г","90,5 г"
"Пудинг, с кокосовым кремом, обычный, приготовленный на цельном молоке",114 кКал,3 г,"3,8 г","17,5 г"
"Пудинг, с кокосовым кремом, приготовленный на цельном молоке",117 кКал,"2,9 г","3,5 г",19 г
"Пудинг, с кокосовым кремом, сухая смесь, быстрого приготовления",415 кКал,"0,9 г",10 г,"79,5 г"
"Пудинг, с кокосовым кремом, сухая смесь, обычный",434 кКал,1 г,"11,36 г","80,24 г"
"Пудинг, со вкусом шоколада, низкокалорийный, быстрого приготовления, сухая смесь",356 кКал,"5,3 г","2,4 г","72,1 г"
"Пудинг, со вкусом шоколада, низкокалорийный, обычный, сухая смесь",365 кКал,"10,08 г",3 г,"64,32 г"
"Пудинг, шоколадный, быстрого приготовления, приготовленный на цельном молоке",111 кКал,"3,1 г","3,1 г","17,8 г"
"Пудинг, шоколадный, готовый к употреблению",142 кКал,"2,09 г","4,6 г","23,01 г"
"Пудинг, шоколадный, готовый к употреблению, обезжиренный",93 кКал,"1,93 г","0,3 г","20,57 г"
"Пудинг, шоколадный, приготовленный на цельном молоке",120 кКал,"3,16 г","3,15 г","18,84 г"
