Продукт,Калорийность,Белки,Жиры,Углеводы
"Амарант, зерна, неприготовленные",371 кКал,"13,56 г","7,02 г","58,55 г"
"Амарант, зерна, приготовленные",102 кКал,"3,8 г","1,58 г","16,59 г"
Амарантовые хлопья,353 кКал,"15,54 г",7 г,"61,65 г"
Аррорут (крахмал из клубней маранты),357 кКал,"0,3 г","0,1 г","84,75 г"
"Биточки перловые с творогом, по 1-294",166 кКал,"7,9 г","6,4 г","18,9 г"
"Биточки пшенные, по 1-292",170 кКал,"6,9 г","5,9 г","22,2 г"
"Булгур, крупа",342 кКал,"12,29 г","1,33 г","63,37 г"
"Булгур, приготовленный",83 кКал,"3,08 г","0,24 г","14,08 г"
"Готовый завтрак,  воздушная пшеница, обогащенный",364 кКал,"14,7 г","1,2 г","75,2 г"
"Готовый завтрак, воздушный рис (произв: The Quaker Oats, Co.)",383 кКал,"7,01 г","0,9 г","86,38 г"
"Готовый завтрак, воздушный рис, обогащенный",402 кКал,"6,3 г","0,5 г","88,1 г"
"Готовый завтрак, зародыши пшеницы, поджаренные",382 кКал,"29,1 г","10,7 г","34,5 г"
"Готовый завтрак, овсяные колечки с кусочками пастилы",400 кКал,"7,1 г","3,33 г","80,4 г"
"Готовый завтрак, овсяные подушечки с корицей, QUAKER",379 кКал,"11,23 г","4,88 г","69,39 г"
"Готовый завтрак, овсяные подушечки, QUAKER",379 кКал,"11,38 г","4,83 г","69,47 г"
"Готовый завтрак, пшеница с отрубями, орехами и фруктами, сухой",385 кКал,"7,1 г","5,6 г","66,5 г"
"Готовый завтрак, хрустящий рис (произв: Ральстон Фудс)",383 кКал,"6,69 г","1,26 г","85,52 г"
"Готовый завтрак, хрустящий рис, MALT-O-MEAL",346 кКал,"6,07 г","1,12 г",86 г
"Гречиха, зерно",343 кКал,"13,25 г","3,4 г","61,5 г"
"Гречиха, зерно цельное необработанное",296 кКал,"10,8 г","3,2 г",56 г
Гречневая каша из крупы ядрица по 1-278,101 кКал,3 г,"3,4 г","14,6 г"
Гречневая каша рассыпчатая (гречка отварная без соли и масла),"100,9 кКал","4,182 г","1,095 г","18,567 г"
Гречневая крупа продел,300 кКал,"9,5 г","2,3 г","60,4 г"
Гречневая крупа ядрица,308 кКал,"12,6 г","3,3 г","57,1 г"
"Гречневая крупа, обжаренная, приготовленная",92 кКал,"3,38 г","0,62 г","17,24 г"
"Гречневая крупа, обжаренная, сухая",346 кКал,"11,73 г","2,71 г","64,65 г"
Гречневая мука,353 кКал,"13,6 г","1,2 г","71,9 г"
"Гречневая мука, цельнозерновая",335 кКал,"12,62 г","3,1 г","60,59 г"
Дрожжи прессованные (*эргостерин),109 кКал,"12,7 г","2,7 г","8,5 г"
"Инкапарина, смесь кукурузной и соевой муки, неприготовленный",379 кКал,"21,75 г","5,58 г","50,63 г"
"Камут (пшеница хорасан), неприготовленный",337 кКал,"14,54 г","2,13 г","59,48 г"
"Камут (пшеница хорасан), приготовленный",132 кКал,"5,71 г","0,83 г","23,3 г"
Картофельный крахмал,357 кКал,"6,9 г","0,34 г","77,2 г"
