Продукт,Калорийность,Белки,Жиры,Углеводы
KRAFT BREAKSTONE'S FREE Обезжиренная сметана,91 кКал,"4,7 г","1,3 г","15,1 г"
KRAFT BREYERS LIGHT N' LIVELY Клубничний йогурт 1% с низким содержанием жира,108 кКал,"3,2 г","0,8 г","21,9 г"
KRAFT BREYERS LIGHT Обезжиренный клубничный йогурт (с заменителями сахара аспартам и фруктозой),55 кКал,"3,4 г","0,2 г","9,9 г"
KRAFT BREYERS Smooth  Creamy Клубничний йогурт 1% с низким содержанием жира,102 кКал,"3,8 г","0,9 г","19,9 г"
KRAFT BREYERS Клубничний йогурт 1% с низким содержанием жира,96 кКал,"3,8 г","0,8 г","18,2 г"
"KRAFT CHEEZ WHIZ LIGHT, Пастеризованый плавленый сыр",215 кКал,"16,3 г","9,5 г","16,2 г"
"KRAFT CHEEZ WHIZ, Пастеризованый плавленый сырный соус",276 кКал,12 г,21 г,"9,2 г"
"KRAFT FREE, Обезжиренный пастеризованый плавленый сыр",148 кКал,"22,7 г",1 г,"11,7 г"
KRAFT VELVEETA LIGHT Пастеризованый плавленый сыр с низким модержанием жира,222 кКал,"19,6 г","10,6 г","11,8 г"
Ацидофилин 1%,40 кКал,3 г,1 г,4 г
"Ацидофилин 3,2% жирности",59 кКал,"2,9 г","3,2 г","3,8 г"
"Ацидофилин 3,2% жирности сладкий",77 кКал,"2,8 г","3,2 г","8,6 г"
Ацидофилин обезжиренный,31 кКал,3 г,"0,05 г","3,9 г"
"Белковая добавка, на основе молока, Muscle Milk Light, порошок",396 кКал,50 г,12 г,20 г
"Белковая добавка, на основе молока, Muscle Milk, порошок",411 кКал,"45,71 г","17,14 г","11,4 г"
"Брынза из коровьего молока, м.д.ж. 40% в сух. в-ве",262 кКал,"22,1 г","19,2 г","0,4 г"
"Брынза овечья, м.д.ж. 40% в сух. в-ве",260 кКал,"21,1 г","18,8 г","0,3 г"
"Варенец  2,5% жирности",53 кКал,"2,9 г","2,5 г","4,1 г"
"Дульсе де лече, варёное сгущенное молоко (латиноамериканский десерт)",315 кКал,"6,84 г","7,35 г","55,35 г"
"Заменитель взбитых сливок, приготовленный из порошка, 6% жирности",100 кКал,"0,9 г",6 г,"10,6 г"
Заменитель молока с маслами лауриновой кислоты,61 кКал,"1,75 г","3,41 г","6,16 г"
"Заменитель молока, без сои",46 кКал,"1,6 г",2 г,"5,3 г"
"Заменитель молока, порошок",529 кКал,"2,48 г","32,92 г","59,29 г"
Заменитель сливок 10% жирности с гидрогенизированным растительным маслом и протеинами сои,136 кКал,1 г,"9,97 г","11,38 г"
Заменитель сливок 10% жирности с маслами лауриновой кислоты и казеинатом натрия,136 кКал,1 г,"9,97 г","11,38 г"
"Заменитель сливок 13,5% жирности ароматизированный",251 кКал,"0,69 г","13,5 г","33,97 г"
"Заменитель сливок 3,5% жирности",71 кКал,"0,8 г","3,5 г","9,1 г"
"Заменитель сливок сухой 15,7% жироности",431 кКал,"1,9 г","15,7 г","73,4 г"
"Заменитель сливок сухой 21,5% жироности ароматизированный",482 кКал,"0,68 г","21,47 г","74,22 г"
"Заменитель сливочного масла, обезжиренный, порошок",373 кКал,2 г,1 г,89 г
"Заменитель сметаны 19,5% жирности",208 кКал,"2,4 г","19,52 г","6,63 г"
"Заменитель сыра (иммитация), американский или чеддер, с низким содержанием холестерина",390 кКал,25 г,32 г,1 г
"Заменитель сыра (иммитация), американский чеддер",239 кКал,"16,7 г",14 г,"11,6 г"
"Заменитель сыра, моцарелла",248 кКал,"11,47 г","12,22 г","23,67 г"
"Заправка для десерта, в аэрозольной упаковке",264 кКал,"0,98 г","22,3 г","16,07 г"
"Заправка для десерта, полужидкая, замороженная",318 кКал,"1,25 г","25,31 г","23,05 г"
"Заправка для десерта, порошок",577 кКал,"4,9 г","39,92 г","52,54 г"
"Заправка для десерта, порошок, 1,5 унции приготовлены на пол стакана молока",194 кКал,"3,61 г","12,72 г","17,13 г"
"Йогурт 1,15% жирности, 4% белка, фруктовый",99 кКал,"3,98 г","1,15 г","18,64 г"
"Йогурт 1,15% жирности, 4% белка, фруктовый, с витамином D",99 кКал,"3,98 г","1,15 г","18,64 г"
"Йогурт 1,25% жирности, 5% белка, ванильный",85 кКал,"4,93 г","1,25 г","13,8 г"
"Йогурт 1,25% жирности, 5% белка, с витамином D, ванильный",85 кКал,"4,93 г","1,25 г","13,8 г"
"Йогурт 1,25% жирности, ванильный, с низкокалорийным подсластителем",86 кКал,"4,93 г","1,25 г","13,8 г"
"Йогурт 1,4% жирности, 4,9% белка, фруктовый",105 кКал,"4,86 г","1,41 г","18,6 г"
"Йогурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем",105 кКал,"4,86 г","1,41 г","18,6 г"
"Йогурт 1,4% жирности, фруктовый, с низкокалорийным подсластителем, с витамином D",105 кКал,"4,86 г","1,41 г","18,6 г"
"Йогурт 1,5% жирности, 4,1% белка, натуральный",57 кКал,"4,1 г","1,5 г","5,9 г"
"Йогурт 1,5% жирности, 4% белка, плодово-ягодный",90 кКал,4 г,"1,5 г","14,3 г"
"Йогурт 1,5% жирности, 5,25% белка, натуральный",63 кКал,"5,25 г","1,55 г","7,04 г"
"Йогурт 1,5% жирности, 5% белка, сладкий",70 кКал,5 г,"1,5 г","8,5 г"
"Йогурт 1% жирности, 4,4% белка, фруктовый",102 кКал,"4,37 г","1,08 г","19,05 г"
"Йогурт 1% жирности, 4,4% белка, фруктовый, с витамином D",102 кКал,"4,37 г","1,08 г","19,05 г"
"Йогурт 3,2% жирности, 5% белка, натуральный",68 кКал,5 г,"3,2 г","3,5 г"
"Йогурт 3,2% жирности, 5% белка, сладкий",87 кКал,5 г,"3,2 г","8,5 г"
"Йогурт 3,25% жирности, 3,5% белка, натуральный",61 кКал,"3,47 г","3,25 г","4,66 г"
"Йогурт 6% жирности, 5% белка, натуральный",92 кКал,5 г,6 г,"3,5 г"
"Йогурт 6% жирности, 5% белка, сладкий",112 кКал,5 г,6 г,"8,5 г"
"Йогурт греческий 1,5% жирности, лимонный, CHOBANI",92 кКал,"7,75 г","1,47 г","11,41 г"
"Йогурт греческий 1,7% жирности, клубнично-банановый, CHOBANI",88 кКал,8 г,"1,71 г","9,54 г"
"Йогурт греческий 1,7% жирности, кокосовый, CHOBANI",92 кКал,"8,11 г","1,71 г","10,54 г"
"Йогурт греческий 1,8% жирности, ананасовый, CHOBANI",94 кКал,"7,05 г","1,82 г","11,57 г"
"Йогурт греческий 1,8% жирности, ягодный, CHOBANI",93 кКал,"8,26 г","1,83 г","10,34 г"
"Йогурт греческий 1,9% жирности, натуральный",73 кКал,"9,95 г","1,92 г","3,94 г"
"Йогурт греческий 1.7% жирности, абрикосовый, CHOBANI",93 кКал,"7,22 г","1,71 г","11,55 г"
"Йогурт греческий 2,5% жирности, ванильный",95 кКал,"8,64 г","2,5 г","9,54 г"
"Йогурт греческий 2,6% жирности , клубничный",105 кКал,"8,17 г","2,57 г","11,29 г"
"Йогурт греческий 2,9% жирности, клубничный, DANNON OIKOS",106 кКал,"8,25 г","2,92 г","10,67 г"
"Йогурт греческий 3% жирности, фруктовый",106 кКал,"7,33 г",3 г,"12,29 г"
"Йогурт греческий 4% жирности, натуральный, CHOBANI",82 кКал,"8,24 г","4,01 г","2,44 г"
"Йогурт греческий 5% жирности, натуральный",97 кКал,9 г,5 г,"3,98 г"
Йогурт греческий обезжиренный клубничный,82 кКал,"8,05 г","0,15 г","11,47 г"
Йогурт греческий обезжиренный малиновый,78 кКал,"8,64 г","0,18 г","9,87 г"
Йогурт греческий обезжиренный натуральный,59 кКал,"10,19 г","0,39 г","3,6 г"
"Йогурт греческий обезжиренный, ванильный, CHOBANI",71 кКал,"9,07 г","0,22 г","7,79 г"
"Йогурт греческий обезжиренный, ванильный, DANNON OIKOS",85 кКал,"8,12 г","0,14 г","12,22 г"
"Йогурт греческий обезжиренный, клубничный, DANNON OIKOS",84 кКал,"8,03 г","0,22 г","12,13 г"
"Йогурт греческий обезжиренный, лимонный, CHOBANI",78 кКал,"8,62 г","0,15 г","10,16 г"
"Йогурт греческий обезжиренный, малиновый, CHOBANI",81 кКал,"7,65 г","0,22 г","11,48 г"
"Йогурт греческий обезжиренный, натуральный, CHOBANI",54 кКал,"9,53 г","0,24 г","3,23 г"
"Йогурт греческий обезжиренный, персиковый, CHOBANI",80 кКал,"7,76 г","0,11 г","11,2 г"
"Йогурт греческий обезжиренный, с гранатом, CHOBANI",80 кКал,"7,45 г","0,18 г","11,33 г"
"Йогурт греческий обезжиренный, с ежевикой, CHOBANI",95 кКал,"7,54 г","0,37 г","15,03 г"
"Йогурт греческий обезжиренный, с клубникой, CHOBANI",79 кКал,"7,28 г","0,23 г","11,46 г"
"Йогурт греческий обезжиренный, черничный, CHOBANI",82 кКал,"7,23 г","0,24 г","12,28 г"
"Йогурт замороженный, 2,5% жирности (вкусы кроме шоколадного)",139 кКал,8 г,"2,5 г",21 г
"Йогурт замороженный, обезжиренный, с низкокалорийным подсластителем  (вкусы кроме шоколадного)",104 кКал,"4,4 г","0,8 г","17,7 г"
"Йогурт обезжиренный, 5,7% белка, натуральный",56 кКал,"5,73 г","0,18 г","7,68 г"
"Йогурт обезжиренный, ванильный",78 кКал,"2,94 г",0 г,"17,04 г"
"Йогурт обезжиренный, ванильный или лимонный , с низкокалорийным подсластителем, с витамином D",43 кКал,"3,86 г","0,18 г","7,5 г"
"Йогурт обезжиренный, ванильный или лимонный, с низкокалорийным подсластителем",43 кКал,"3,86 г","0,18 г","7,5 г"
"Йогурт обезжиренный, фруктовый",95 кКал,"4,4 г","0,2 г",19 г
"Йогурт обезжиренный, фруктовый, с витамином D",95 кКал,"4,4 г","0,2 г",19 г
"Йогурт обезжиренный, шоколадный",112 кКал,"3,53 г",0 г,"22,33 г"
"Йогурт обезжиренный, шоколадный, с витамином D",112 кКал,"3,53 г",0 г,"22,33 г"
"Йогурт питьевой  2,5% жирности, с фруктовым наполнителем",86 кКал,"2,8 г","2,5 г",13 г
"Йогурт питьевой 1,5% жирности, с фруктовым наполнителем",78 кКал,3 г,"1,5 г",13 г
"Йогурт питьевой 1% жирности, с фруктовым наполнителем",71 кКал,"2,7 г",1 г,"12,2 г"
"Йогурт питьевой клубничный 0,9% жирности, витаминизированный, LIFEWAY",62 кКал,"3,39 г","0,9 г","10,2 г"
Йогурт сублимационной сушки,534 кКал,16 г,36 г,"38,1 г"
"Йогурт сублимационной сушки, плодово-ягодный",484 кКал,16 г,26 г,"48,5 г"
"Йогурт сублимационной сушки, сладкий",491 кКал,16 г,"27,5 г","47,3 г"
"Какао с молоком, напиток",77 кКал,"3,52 г","2,34 г","9,74 г"
"Какао со сгущенным молоком и сахаром, консервы",321 кКал,"8,2 г","7,5 г","51,6 г"
"Какао со сгущенными сливками, консервы",356 кКал,"8,2 г","15,5 г","48,3 г"
Кефир 1% жирности,40 кКал,3 г,1 г,4 г
"Кефир 1% жирности, витаминизированный, LIFEWAY",43 кКал,"3,79 г","1,02 г","4,77 г"
"Кефир 2,5% жирности",53 кКал,"2,9 г","2,5 г",4 г
"Кефир 3,2% жирности",59 кКал,"2,9 г","3,2 г",4 г
Кефир обезжиренный,31 кКал,3 г,"0,05 г",4 г
"Кислая сквашенная кремовая заправка, без молочного жира",178 кКал,"3,25 г","16,57 г","4,68 г"
"Кофе натуральный со сгущенным молоком, консервы",312 кКал,"8,4 г","8,6 г",53 г
Кумыс из кобыльего молока,50 кКал,"2,1 г","1,9 г",5 г
"Кумыс коровий, нежирный",41 кКал,3 г,"0,05 г","6,3 г"
Масло сливочное «Вологодское»,748 кКал,"0,5 г","82,5 г","0,8 г"
Масло сливочное 55% жирности,499 кКал,"3,3 г","55,1 г",0 г
"Масло сливочное 55% жирности, соленое",499 кКал,"3,3 г","55,1 г",0 г
"Масло сливочное 60% жирности, высокобелковое",567 кКал,"5,1 г",60 г,"1,8 г"
"Масло сливочное 61,5% жирности, бутербродное",566 кКал,"1,3 г","61,5 г","1,7 г"
"Масло сливочное 71,5% жирности, крестьянское соленое",647 кКал,"0,8 г","71,5 г","1,3 г"
"Масло сливочное 72,5% жирности, крестьянское",661 кКал,"0,8 г","72,5 г","1,3 г"
"Масло сливочное 75% жирности, обогащённое витамином Е",683 кКал,"0,7 г",75 г,"1,3 г"
"Масло сливочное 77% жирности, любительское соленое",700 кКал,"0,7 г",77 г,1 г
"Масло сливочное 78% жирности, любительское",709 кКал,"0,7 г",78 г,1 г
Масло сливочное 81% жирности,717 кКал,"0,85 г","81,11 г","0,06 г"
"Масло сливочное 81% жирности, соленое",717 кКал,"0,85 г","81,11 г","0,06 г"
"Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское)",748 кКал,"0,5 г","82,5 г","0,8 г"
"Масло сливочное взбитое 78,3% жирности, соленое",731 кКал,"0,49 г","78,3 г",0 г
Масло сливочное топлёное,900 кКал,0 г,100 г,0 г
"Масло сливочное топленое, 99% жирности",892 кКал,"0,2 г",99 г,0 г
"Молоко 1,5% жирности, пастеризованное",45 кКал,3 г,"1,5 г","4,8 г"
"Молоко 1,5% жирности, стерилизованное",45 кКал,3 г,"1,5 г","4,8 г"
"Молоко 1%  жирности, с добавлением сухого обезжиренного молока, с витаминами A и D",43 кКал,"3,48 г","0,97 г","4,97 г"
Молоко 1% жирности,42 кКал,"3,37 г","0,97 г","4,99 г"
Молоко 1% жирности высокобелковое,52 кКал,"4,3 г",1 г,"6,4 г"
"Молоко 1% жирности высокобелковое, с витаминами A и D",48 кКал,"3,93 г","1,17 г","5,52 г"
"Молоко 1% жирности, с витаминами A и D",42 кКал,"3,37 г","0,97 г","4,99 г"
"Молоко 1% жирности, топленое",40 кКал,3 г,1 г,"4,8 г"
"Молоко 2,5% жирности, пастеризованное",54 кКал,"2,9 г","2,5 г","4,8 г"
"Молоко 2,5% жирности, стерилизованное",54 кКал,"2,9 г","2,5 г","4,8 г"
Молоко 2% жирности,50 кКал,"3,3 г","1,98 г","4,8 г"
"Молоко 2% жирности, высокобелковое",56 кКал,"3,95 г","1,98 г","5,49 г"
"Молоко 2% жирности, высокобелковое, с витаминами A и D",56 кКал,"3,95 г","1,98 г","5,49 г"
"Молоко 2% жирности, с витаминами A и D",50 кКал,"3,3 г","1,98 г","4,8 г"
"Молоко 2% жирности, с добавлением сухого обезжиренного молока, с витаминами A и D",51 кКал,"3,48 г","1,92 г","4,97 г"
"Молоко 3,2% жирности, пастеризованное",60 кКал,"2,9 г","3,2 г","4,7 г"
"Молоко 3,2% жирности, стерилизованное",60 кКал,3 г,"3,2 г","4,7 г"
"Молоко 3,25% жирности",61 кКал,"3,15 г","3,27 г","4,78 г"
"Молоко 3,25% жирности, с витамином D",61 кКал,"3,15 г","3,25 г","4,8 г"
"Молоко 3,5% жирности, пастеризованное",62 кКал,"2,9 г","3,5 г","4,7 г"
"Молоко 3,5% жирности, со сниженным содержанием натрия",61 кКал,"3,1 г","3,46 г","4,46 г"
"Молоко 3,5% жирности, стерилизованное",63 кКал,3 г,"3,5 г","4,7 г"
"Молоко 3% жирности, стерилизованное",58 кКал,"2,9 г",3 г,"4,7 г"
"Молоко 4% жирности, топленое",67 кКал,"2,9 г",4 г,"4,7 г"
"Молоко 6% жирности, топленое",84 кКал,3 г,6 г,"4,7 г"
Молоко буйволиное,106 кКал,4 г,"7,8 г","4,9 г"
Молоко верблюжье,"81,5 кКал",4 г,"5,1 г","4,9 г"
Молоко грудное,70 кКал,"1,03 г","4,38 г","6,89 г"
Молоко индийского буйвола,97 кКал,"3,75 г","6,89 г","5,18 г"
Молоко кобылье,41 кКал,"2,2 г",1 г,"5,8 г"
Молоко козье,68 кКал,3 г,"4,2 г","4,5 г"
"Молоко козье, с витамином D",69 кКал,"3,56 г","4,14 г","4,45 г"
"Молоко коровье сырое 3,6% жирности, фермерское (непастеризованное, нестрерилизованное, некипяченое)",65 кКал,"3,2 г","3,6 г","4,8 г"
"Молоко коровье сырое 3,7% жирности, фермерское",64 кКал,"3,28 г","3,66 г","4,65 г"
Молоко обезжиренное,35 кКал,"3,37 г","0,18 г","4,86 г"
"Молоко обезжиренное, высокобелковое, с витаминами A и D",41 кКал,"3,96 г","0,25 г","5,56 г"
"Молоко обезжиренное, обогащенное кальцием",35 кКал,"3,4 г","0,18 г","4,85 г"
"Молоко обезжиренное, пастеризованное",32 кКал,3 г,"0,05 г","4,9 г"
"Молоко обезжиренное, с витаминами A и D",34 кКал,"3,37 г","0,08 г","4,96 г"
"Молоко обезжиренное, с добавлением сухого обезжиренного молока, с витаминами A и D",37 кКал,"3,57 г","0,25 г","5,02 г"
"Молоко обезжиренное, топленое",32 кКал,3 г,"0,05 г",5 г
Молоко овечье,108 кКал,"5,98 г",7 г,"5,36 г"
Молоко овечье,111 кКал,"5,6 г","7,7 г","4,8 г"
Молоко с гидрогенизированным растительным маслом,63 кКал,"3,33 г","3,46 г","4,74 г"
Молоко с маслами лауриновой кислоты,63 кКал,"3,33 г","3,4 г","4,74 г"
Молоко сгущенное без сахара 2% жирности с витаминами A и D,107 кКал,"6,67 г",2 г,"15,74 г"
"Молоко сгущенное без сахара 7,5% жирности, с витамином D",134 кКал,"6,81 г","7,56 г","10,04 г"
"Молоко сгущенное без сахара 7,5% жирности, с витамином А",134 кКал,"6,81 г","7,56 г","10,04 г"
"Молоко сгущенное без сахара 7,8% жирности, стерилизованное",138 кКал,"6,4 г","7,8 г","10,3 г"
"Молоко сгущенное без сахара 8,3% жирности, стерилизованное",144 кКал,7 г,"8,3 г","9,5 г"
"Молоко сгущенное без сахара 9,5% жирности, стерилизованное",162 кКал,"8,3 г","9,5 г","11,3 г"
"Молоко сгущенное без сахара обезжиренное, с витаминами A и D",78 кКал,"7,55 г","0,2 г","11,35 г"
"Молоко сгущенное без сахара обезжиренное, стерилизованное",71 кКал,"6,6 г","0,2 г","10,8 г"
"Молоко сгущенное с сахаром 2,5% жирности",271 кКал,"7,4 г","2,5 г","54,6 г"
Молоко сгущенное с сахаром 5% жирности,295 кКал,"7,1 г",5 г,"55,2 г"
"Молоко сгущенное с сахаром 8,5% жирности, цельное",328 кКал,"7,2 г","8,5 г","55,5 г"
"Молоко сгущенное с сахаром 8,7% жирности",321 кКал,"7,91 г","8,7 г","54,4 г"
"Молоко сгущенное с сахаром, ""Славянское""",261 кКал,"7,4 г","0,2 г","57,1 г"
"Молоко сгущенное с сахаром, обезжиренное",259 кКал,"7,5 г","0,2 г","56,8 г"
"Молоко сухое 15% жирности, полуобезжиренное",432 кКал,"28,5 г",15 г,"44,7 г"
"Молоко сухое 25% жирности, цельное",483 кКал,"24,2 г",25 г,"39,3 г"
"Молоко сухое 26,7% жирности, цельное",496 кКал,"26,32 г","26,71 г","38,42 г"
"Молоко сухое 26,7% жирности, цельное, с витамином D",496 кКал,"26,32 г","26,71 г","38,42 г"
Молоко сухое обезжиренное,362 кКал,"33,2 г",1 г,"52,6 г"
Молоко сухое обезжиренное,362 кКал,"36,16 г","0,77 г","51,98 г"
Молоко сухое обезжиренное со сниженным содержанием кальцием,354 кКал,"35,5 г","0,2 г","51,8 г"
"Молоко сухое обезжиренное, быстрорастворимое",358 кКал,"35,1 г","0,72 г","52,19 г"
"Молоко сухое обезжиренное, быстрорастворимое, с витаминами A и D",358 кКал,"35,1 г","0,72 г","52,19 г"
"Молоко сухое обезжиренное, с витаминами A и D",362 кКал,"36,16 г","0,77 г","51,98 г"
"Молоко, сгущеное цельное, без доб. витаминов A и D, 8%, консерв.",135 кКал,"6,81 г","7,56 г","10,04 г"
"Молочный батончик 1,5% жирности, сладкий",147 кКал,"4,41 г","1,47 г","25,4 г"
"Молочный коктейль, густой ванильный",112 кКал,"3,86 г","3,03 г","17,75 г"
"Молочный коктейль, густой шоколадный",119 кКал,"3,05 г","2,7 г","20,85 г"
"Молочный напиток шоколадный 1,1% жирности с витаминами A и D",64 кКал,"3,46 г","1,11 г","10,05 г"
"Молочный напиток шоколадный 1,9% жирности, с витаминами A и D",76 кКал,"2,99 г","1,9 г","11,43 г"
"Молочный напиток шоколадный 1% жирности, со сниженным содержанием сахара",57 кКал,"3,43 г","1,04 г","7,68 г"
"Молочный напиток шоколадный 3,4% жирности, с витаминами A и D",83 кКал,"3,17 г","3,39 г","9,54 г"
"Молочный напиток шоколадный обезжиренный, с витаминами A и D",67 кКал,"3,39 г",0 г,"13,46 г"
"Молочный напиток шоколадный обезжиренный, с добавлением кальция",78 кКал,"2,99 г","1,9 г","11,43 г"
"Мороженое в вафельном рожке покрытое шоколадом с орехами, 22% жирности",354 кКал,"5,21 г","21,88 г","33,38 г"
